# fE1_exp_024_054_DRC.dat                         
#                                                 
# Z = 24, A = 54                                  
# No. of entries:            33                   
# Col 1: photon energy E in MeV                   
# Col 2: bin width dE in MeV                      
# Col 3: dipole strength f1 in MeV^-3             
# Col 4: uncertainty df1 in MeV^-3                
# Format: 2f10.3, 2e12.3                          
# Author: J. Kopecky                              
#    E         dE       fE1           dfE1        
     4.134     0.000   0.122E-06   0.305E-07
     4.374     0.000   0.382E-07   0.960E-08
     4.425     0.000   0.493E-07   0.123E-07
     4.429     0.000   0.405E-07   0.101E-07
     4.452     0.000   0.964E-07   0.241E-07
     4.494     0.000   0.124E-06   0.311E-07
     4.531     0.000   0.560E-07   0.140E-07
     4.606     0.000   0.951E-07   0.238E-07
     4.847     0.000   0.153E-06   0.383E-07
     4.875     0.000   0.604E-07   0.151E-07
     5.087     0.000   0.101E-06   0.254E-07
     5.148     0.000   0.130E-06   0.326E-07
     5.261     0.000   0.467E-07   0.117E-07
     5.339     0.000   0.740E-07   0.185E-07
     5.463     0.000   0.779E-07   0.195E-07
     5.481     0.000   0.320E-07   0.800E-08
     5.502     0.000   0.227E-07   0.570E-08
     5.529     0.000   0.190E-07   0.480E-08
     5.592     0.000   0.321E-07   0.800E-08
     5.594     0.000   0.307E-07   0.770E-08
     5.636     0.000   0.450E-07   0.113E-07
     5.707     0.000   0.677E-07   0.169E-07
     5.792     0.000   0.100E-06   0.251E-07
     5.795     0.000   0.883E-07   0.221E-07
     5.859     0.000   0.142E-06   0.354E-07
     6.000     0.000   0.320E-06   0.799E-07
     6.283     0.000   0.158E-06   0.396E-07
     6.326     0.000   0.494E-07   0.124E-07
     6.646     0.000   0.221E-06   0.553E-07
     6.890     0.000   0.148E-06   0.371E-07
     7.100     0.000   0.361E-06   0.902E-07
     8.885     0.000   0.400E-06   0.100E-06
     9.720     0.000   0.278E-06   0.696E-07
