# fE1_exp_033_076_ARC.dat                         
#                                                 
# Z = 33, A = 76                                  
# No. of entries:            27                   
# Col 1: photon energy E in MeV                   
# Col 2: bin width dE in MeV                      
# Col 3: dipole strength f1 in MeV^-3             
# Col 4: uncertainty df1 in MeV^-3                
# Format: 2f10.3, 2e12.3                          
# Author: J. Kopecky                              
#    E         dE       fE1           dfE1        
     6.266     0.000   0.366E-07   0.500E-09
     6.296     0.000   0.290E-07   0.110E-08
     6.301     0.000   0.216E-07   0.140E-08
     6.420     0.000   0.209E-07   0.800E-09
     6.536     0.000   0.430E-07   0.700E-09
     6.544     0.000   0.260E-07   0.000E+00
     6.555     0.000   0.236E-07   0.800E-09
     6.573     0.000   0.361E-07   0.190E-08
     6.584     0.000   0.414E-07   0.900E-09
     6.613     0.000   0.186E-07   0.260E-08
     6.642     0.000   0.224E-07   0.600E-09
     6.660     0.000   0.257E-07   0.120E-08
     6.700     0.000   0.371E-07   0.600E-09
     6.719     0.000   0.274E-07   0.270E-08
     6.785     0.000   0.271E-07   0.240E-08
     6.824     0.000   0.360E-07   0.310E-08
     6.830     0.000   0.363E-07   0.700E-09
     6.882     0.000   0.330E-07   0.600E-09
     6.927     0.000   0.499E-07   0.400E-09
     6.977     0.000   0.313E-07   0.130E-08
     7.021     0.000   0.356E-07   0.600E-09
     7.029     0.000   0.315E-07   0.210E-08
     7.049     0.000   0.532E-07   0.400E-09
     7.064     0.000   0.376E-07   0.600E-09
     7.208     0.000   0.506E-07   0.600E-09
     7.242     0.000   0.839E-07   0.200E-09
     7.285     0.000   0.382E-07   0.700E-09
