# fE1_exp_042_093_DRC.dat                         
#                                                 
# Z = 42, A =  93                                 
# No. of entries:            12                   
# Col 1: photon energy E in MeV                   
# Col 2: bin width dE in MeV                      
# Col 3: dipole strength f1 in MeV^-3             
# Col 4: uncertainty df1 in MeV^-3                
# Format: 2f10.3, 2e12.3                          
# Author: J. Kopecky                              
#    E         dE       fE1           dfE1        
     5.189     0.000   0.262E-07   0.660E-08
     5.208     0.000   0.273E-07   0.680E-08
     5.366     0.000   0.462E-07   0.116E-07
     5.398     0.000   0.106E-07   0.270E-08
     5.634     0.000   0.415E-07   0.104E-07
     5.671     0.000   0.888E-07   0.222E-07
     5.888     0.000   0.267E-07   0.670E-08
     5.928     0.000   0.587E-07   0.147E-07
     6.375     0.000   0.105E-06   0.264E-07
     6.576     0.000   0.113E-06   0.282E-07
     7.126     0.000   0.218E-06   0.546E-07
     8.067     0.000   0.147E-06   0.367E-07
