# fE1_exp_048_114_ARC.dat                         
#                                                 
# Z = 48, A =114                                  
# No. of entries:            12                   
# Col 1: photon energy E in MeV                   
# Col 2: bin width dE in MeV                      
# Col 3: dipole strength f1 in MeV^-3             
# Col 4: uncertainty df1 in MeV^-3                
# Format: 2f10.3, 2e12.3                          
# Author: J. Kopecky                              
#    E         dE       fE1           dfE1        
     5.581     0.000   0.529E-07   0.320E-08
     5.598     0.000   0.433E-07   0.280E-08
     5.634     0.000   0.463E-07   0.290E-08
     5.779     0.000   0.471E-07   0.440E-08
     5.785     0.000   0.416E-07   0.270E-08
     5.830     0.000   0.589E-07   0.550E-08
     6.044     0.000   0.518E-07   0.670E-08
     6.086     0.000   0.431E-07   0.101E-07
     6.090     0.000   0.443E-07   0.640E-08
     6.276     0.000   0.479E-07   0.200E-08
     6.463     0.000   0.767E-07   0.320E-08
     6.587     0.000   0.588E-07   0.290E-08
