# fE1_exp_063_154_ARC.dat                         
#                                                 
# Z = 63, A = 154                                 
# No. of entries:            38                   
# Col 1: photon energy E in MeV                   
# Col 2: bin width dE in MeV                      
# Col 3: dipole strength f1 in MeV^-3             
# Col 4: uncertainty df1 in MeV^-3                
# Format: 2f10.3, 2e12.3                          
# Author: J. Kopecky                              
#    E         dE       fE1           dfE1        
     7.552     0.000   0.141E-06   0.108E-07
     7.559     0.000   0.182E-06   0.121E-07
     7.567     0.000   0.112E-06   0.108E-07
     7.579     0.000   0.623E-07   0.165E-07
     7.596     0.000   0.742E-07   0.159E-07
     7.601     0.000   0.124E-06   0.153E-07
     7.606     0.000   0.946E-07   0.129E-07
     7.619     0.000   0.104E-06   0.159E-07
     7.628     0.000   0.699E-07   0.197E-07
     7.637     0.000   0.177E-06   0.135E-07
     7.646     0.000   0.116E-06   0.109E-07
     7.666     0.000   0.117E-06   0.105E-07
     7.673     0.000   0.153E-06   0.117E-07
     7.679     0.000   0.179E-06   0.134E-07
     7.684     0.000   0.518E-07   0.154E-07
     7.701     0.000   0.115E-06   0.109E-07
     7.716     0.000   0.913E-05   0.211E-07
     7.722     0.000   0.160E-06   0.265E-07
     7.727     0.000   0.168E-06   0.480E-07
     7.732     0.000   0.127E-06   0.158E-07
     7.743     0.000   0.164E-06   0.141E-07
     7.761     0.000   0.132E-06   0.101E-07
     7.788     0.000   0.179E-06   0.158E-07
     7.809     0.000   0.138E-06   0.970E-08
     7.824     0.000   0.164E-06   0.138E-07
     7.836     0.000   0.126E-06   0.131E-07
     7.872     0.000   0.903E-07   0.431E-07
     7.912     0.000   0.139E-06   0.280E-08
     7.916     0.000   0.145E-06   0.890E-08
     7.920     0.000   0.152E-06   0.157E-07
     7.937     0.000   0.158E-06   0.121E-07
     7.970     0.000   0.140E-06   0.700E-08
     7.978     0.000   0.158E-06   0.740E-08
     7.988     0.000   0.130E-06   0.850E-08
     8.022     0.000   0.125E-06   0.113E-07
     8.029     0.000   0.123E-06   0.780E-08
     8.069     0.000   0.123E-06   0.770E-08
     8.151     0.000   0.121E-06   0.820E-08
