# fE1_exp_092_235_DRC.dat                         
#                                                 
# Z = 92, A = 235                                 
# No. of entries:            58                   
# Col 1: photon energy E in MeV                   
# Col 2: bin width dE in MeV                      
# Col 3: dipole strength f1 in MeV^-3             
# Col 4: uncertainty df1 in MeV^-3                
# Format: 2f10.3, 2e12.3                          
# Author: J. Kopecky                              
#    E         dE       fE1           dfE1        
     3.091     0.000   0.419E-06   0.126E-06
     3.159     0.000   0.106E-06   0.564E-07
     3.224     0.000   0.101E-06   0.522E-07
     3.274     0.000   0.249E-06   0.739E-07
     3.284     0.000   0.931E-07   0.456E-07
     3.294     0.000   0.116E-06   0.504E-07
     3.366     0.000   0.112E-06   0.450E-07
     3.387     0.000   0.196E-06   0.432E-07
     3.392     0.000   0.151E-06   0.426E-07
     3.407     0.000   0.228E-06   0.420E-07
     3.496     0.000   0.335E-06   0.678E-07
     3.525     0.000   0.279E-06   0.462E-07
     3.553     0.000   0.396E-07   0.276E-07
     3.590     0.000   0.174E-06   0.522E-07
     3.608     0.000   0.636E-07   0.354E-07
     3.675     0.000   0.280E-06   0.480E-07
     3.684     0.000   0.190E-06   0.781E-07
     3.725     0.000   0.234E-06   0.648E-07
     3.744     0.000   0.402E-07   0.282E-07
     3.763     0.000   0.160E-06   0.378E-07
     3.801     0.000   0.150E-07   0.144E-07
     3.811     0.000   0.127E-06   0.258E-07
     3.834     0.000   0.690E-07   0.180E-07
     3.850     0.000   0.576E-07   0.180E-07
     3.859     0.000   0.102E-06   0.216E-07
     3.884     0.000   0.179E-06   0.264E-07
     3.910     0.000   0.172E-06   0.318E-07
     3.929     0.000   0.104E-06   0.174E-07
     3.939     0.000   0.907E-07   0.180E-07
     3.967     0.000   0.492E-07   0.120E-07
     3.981     0.000   0.108E-06   0.576E-07
     3.395     0.000   0.187E-06   0.306E-07
     4.025     0.000   0.943E-07   0.300E-07
     4.032     0.000   0.751E-07   0.168E-07
     4.046     0.000   0.126E-07   0.114E-07
     4.072     0.000   0.925E-07   0.198E-07
     4.102     0.000   0.835E-07   0.192E-07
     4.112     0.000   0.763E-07   0.174E-07
     4.153     0.000   0.126E-06   0.258E-07
     4.169     0.000   0.198E-06   0.204E-07
     4.192     0.000   0.318E-07   0.144E-07
     4.198     0.000   0.835E-07   0.180E-07
     4.253     0.000   0.402E-07   0.144E-07
     4.264     0.000   0.163E-06   0.204E-07
     4.285     0.000   0.600E-07   0.180E-07
     4.290     0.000   0.492E-07   0.138E-07
     4.296     0.000   0.612E-07   0.192E-07
     4.307     0.000   0.126E-06   0.174E-07
     4.320     0.000   0.300E-07   0.120E-07
     4.339     0.000   0.444E-07   0.120E-07
     4.347     0.000   0.835E-07   0.150E-07
     4.463     0.000   0.246E-07   0.108E-07
     4.492     0.000   0.973E-07   0.252E-07
     4.528     0.000   0.216E-06   0.240E-07
     4.537     0.000   0.913E-07   0.180E-07
     4.594     0.000   0.151E-06   0.186E-07
     4.639     0.000   0.156E-06   0.252E-07
     4.661     0.000   0.588E-07   0.132E-07
