# fM1_exp_041_094_DRC.dat                         
#                                                 
# Z = 41, A =  94                                 
# No. of entries:           112                   
# Col 1: photon energy E in MeV                   
# Col 2: bin width dE in MeV                      
# Col 3: dipole strength f1 in MeV^-3             
# Col 4: uncertainty df1 in MeV^-3                
# Format: 2f10.3, 2e12.3                          
# Author: J. Kopecky                              
#    E         dE       fM1           dfM1        
     3.967     0.000   0.140E-08   0.400E-09
     4.009     0.000   0.110E-08   0.300E-09
     4.036     0.000   0.170E-08   0.400E-09
     4.052     0.000   0.350E-08   0.900E-09
     4.091     0.000   0.130E-08   0.300E-09
     4.170     0.000   0.120E-08   0.300E-09
     4.194     0.000   0.800E-09   0.200E-09
     4.221     0.000   0.260E-08   0.700E-09
     4.226     0.000   0.150E-08   0.400E-09
     4.364     0.000   0.330E-08   0.800E-09
     4.380     0.000   0.900E-09   0.200E-09
     4.389     0.000   0.180E-08   0.500E-09
     4.397     0.000   0.110E-08   0.300E-09
     4.403     0.000   0.240E-08   0.600E-09
     4.448     0.000   0.110E-08   0.300E-09
     4.453     0.000   0.170E-08   0.400E-09
     4.486     0.000   0.900E-09   0.200E-09
     4.505     0.000   0.120E-08   0.300E-09
     4.520     0.000   0.260E-08   0.700E-09
     4.535     0.000   0.250E-08   0.600E-09
     4.543     0.000   0.140E-08   0.400E-09
     4.553     0.000   0.240E-08   0.600E-09
     4.567     0.000   0.200E-08   0.500E-09
     4.574     0.000   0.700E-09   0.200E-09
     4.607     0.000   0.110E-08   0.300E-09
     4.651     0.000   0.400E-09   0.100E-09
     4.664     0.000   0.250E-08   0.600E-09
     4.684     0.000   0.220E-08   0.600E-09
     4.690     0.000   0.100E-08   0.300E-09
     4.712     0.000   0.100E-08   0.300E-09
     4.747     0.000   0.190E-08   0.500E-09
     4.758     0.000   0.600E-09   0.200E-09
     4.771     0.000   0.530E-08   0.130E-08
     4.779     0.000   0.400E-08   0.100E-08
     4.787     0.000   0.160E-08   0.400E-09
     4.793     0.000   0.100E-08   0.300E-09
     4.809     0.000   0.230E-08   0.600E-09
     4.816     0.000   0.380E-08   0.100E-08
     4.828     0.000   0.470E-08   0.120E-08
     4.874     0.000   0.900E-09   0.200E-09
     4.893     0.000   0.180E-08   0.500E-09
     4.907     0.000   0.600E-09   0.200E-09
     4.912     0.000   0.200E-08   0.500E-09
     4.928     0.000   0.480E-08   0.120E-08
     4.949     0.000   0.700E-09   0.200E-09
     4.987     0.000   0.110E-08   0.300E-09
     4.991     0.000   0.120E-08   0.300E-09
     4.999     0.000   0.110E-08   0.300E-09
     5.009     0.000   0.310E-08   0.800E-09
     5.048     0.000   0.120E-08   0.300E-09
     5.078     0.000   0.150E-08   0.400E-09
     5.089     0.000   0.210E-08   0.500E-09
     5.096     0.000   0.210E-08   0.500E-09
     5.104     0.000   0.120E-08   0.300E-09
     5.162     0.000   0.220E-08   0.600E-09
     5.180     0.000   0.500E-09   0.100E-09
     5.192     0.000   0.180E-08   0.500E-09
     5.208     0.000   0.300E-09   0.100E-09
     5.214     0.000   0.110E-08   0.300E-09
     5.219     0.000   0.140E-08   0.400E-09
     5.246     0.000   0.500E-09   0.100E-09
     5.252     0.000   0.240E-08   0.600E-09
     5.281     0.000   0.150E-08   0.400E-09
     5.288     0.000   0.350E-08   0.900E-09
     5.300     0.000   0.180E-08   0.500E-09
     5.306     0.000   0.160E-08   0.400E-09
     5.347     0.000   0.440E-08   0.110E-08
     5.363     0.000   0.100E-08   0.300E-09
     5.369     0.000   0.130E-08   0.300E-09
     5.399     0.000   0.880E-08   0.220E-08
     5.406     0.000   0.210E-08   0.500E-09
     5.412     0.000   0.600E-09   0.200E-09
     5.447     0.000   0.100E-08   0.300E-09
     5.454     0.000   0.300E-08   0.800E-09
     5.464     0.000   0.900E-09   0.200E-09
     5.496     0.000   0.290E-08   0.700E-09
     5.511     0.000   0.360E-08   0.900E-09
     5.549     0.000   0.110E-08   0.300E-09
     5.570     0.000   0.700E-09   0.200E-09
     5.606     0.000   0.290E-08   0.700E-09
     5.611     0.000   0.720E-08   0.180E-08
     5.648     0.000   0.470E-08   0.120E-08
     5.660     0.000   0.700E-09   0.200E-09
     5.670     0.000   0.120E-08   0.300E-09
     5.709     0.000   0.210E-08   0.500E-09
     5.728     0.000   0.510E-08   0.130E-08
     5.735     0.000   0.360E-08   0.900E-09
     5.742     0.000   0.350E-08   0.900E-09
     5.770     0.000   0.760E-08   0.190E-08
     5.781     0.000   0.200E-09   0.100E-09
     5.881     0.000   0.560E-08   0.140E-08
     5.895     0.000   0.250E-08   0.600E-09
     5.907     0.000   0.270E-08   0.700E-09
     5.948     0.000   0.240E-08   0.600E-09
     5.956     0.000   0.340E-08   0.900E-09
     5.972     0.000   0.130E-08   0.300E-09
     5.981     0.000   0.100E-09   0.000E+00
     5.995     0.000   0.720E-08   0.180E-08
     6.050     0.000   0.700E-09   0.200E-09
     6.059     0.000   0.120E-08   0.300E-09
     6.218     0.000   0.900E-09   0.200E-09
     6.259     0.000   0.400E-09   0.100E-09
     6.272     0.000   0.120E-08   0.300E-09
     6.297     0.000   0.140E-08   0.400E-09
     6.435     0.000   0.110E-08   0.300E-09
     6.587     0.000   0.900E-09   0.200E-09
     6.597     0.000   0.280E-08   0.700E-09
     6.917     0.000   0.110E-08   0.000E+00
     7.116     0.000   0.150E-08   0.400E-09
     7.170     0.000   0.210E-08   0.500E-09
     7.188     0.000   0.290E-08   0.700E-09
     7.229     0.000   0.270E-08   0.700E-09
