# fM1_exp_045_104_DRC.dat                         
#                                                 
# Z = 45, A = 104                                 
# No. of entries:            29                   
# Col 1: photon energy E in MeV                   
# Col 2: bin width dE in MeV                      
# Col 3: dipole strength f1 in MeV^-3             
# Col 4: uncertainty df1 in MeV^-3                
# Format: 2f10.3, 2e12.3                          
# Author: J. Kopecky                              
#    E         dE       fM1           dfM1        
     5.848     0.000   0.391E-07   0.980E-08
     5.881     0.000   0.307E-07   0.770E-08
     5.935     0.000   0.202E-07   0.510E-08
     5.949     0.000   0.143E-07   0.360E-08
     5.967     0.000   0.335E-07   0.840E-08
     5.990     0.000   0.835E-07   0.209E-07
     6.017     0.000   0.820E-08   0.210E-08
     6.067     0.000   0.262E-07   0.660E-08
     6.083     0.000   0.111E-06   0.277E-07
     6.092     0.000   0.155E-07   0.390E-08
     6.101     0.000   0.207E-07   0.520E-08
     6.164     0.000   0.520E-07   0.130E-07
     6.183     0.000   0.521E-07   0.130E-07
     6.193     0.000   0.237E-07   0.590E-08
     6.207     0.000   0.832E-07   0.208E-07
     6.380     0.000   0.105E-07   0.260E-08
     6.397     0.000   0.110E-07   0.280E-08
     6.407     0.000   0.520E-08   0.130E-08
     6.414     0.000   0.210E-07   0.530E-08
     6.420     0.000   0.992E-07   0.248E-07
     6.615     0.000   0.274E-07   0.690E-08
     6.657     0.000   0.870E-08   0.220E-08
     6.727     0.000   0.149E-07   0.370E-08
     6.731     0.000   0.840E-08   0.210E-08
     6.753     0.000   0.128E-07   0.320E-08
     6.763     0.000   0.230E-08   0.600E-09
     6.768     0.000   0.121E-07   0.300E-08
     6.814     0.000   0.194E-07   0.490E-08
     6.948     0.000   0.119E-07   0.300E-08
