# fM1_exp_046_106_ARC.dat                         
#                                                 
# Z = 46, A = 106                                 
# No. of entries:            21                   
# Col 1: photon energy E in MeV                   
# Col 2: bin width dE in MeV                      
# Col 3: dipole strength f1 in MeV^-3             
# Col 4: uncertainty df1 in MeV^-3                
# Format: 2f10.3, 2e12.3                          
# Author: J. Kopecky                              
#    E         dE       fM1           dfM1        
     9.050     0.000   0.113E-07   0.400E-09
     8.434     0.000   0.115E-07   0.400E-09
     8.334     0.000   0.127E-07   0.400E-09
     8.004     0.000   0.127E-07   0.280E-08
     7.999     0.000   0.125E-07   0.140E-08
     7.651     0.000   0.135E-07   0.200E-08
     7.629     0.000   0.143E-07   0.120E-08
     7.482     0.000   0.870E-08   0.240E-08
     7.319     0.000   0.900E-08   0.600E-09
     7.287     0.000   0.112E-07   0.160E-08
     7.210     0.000   0.840E-08   0.120E-08
     7.123     0.000   0.970E-08   0.100E-08
     6.971     0.000   0.380E-08   0.120E-08
     6.933     0.000   0.660E-08   0.100E-08
     6.914     0.000   0.112E-07   0.320E-08
     6.848     0.000   0.740E-08   0.140E-08
     6.777     0.000   0.690E-08   0.120E-08
     6.714     0.000   0.870E-08   0.320E-08
     6.645     0.000   0.580E-08   0.200E-08
     6.519     0.000   0.920E-08   0.300E-08
     6.505     0.000   0.105E-07   0.300E-08
