# fM1_exp_048_114_ARC.dat                         
#                                                 
# Z = 48, A =114                                  
# No. of entries:            30                   
# Col 1: photon energy E in MeV                   
# Col 2: bin width dE in MeV                      
# Col 3: dipole strength f1 in MeV^-3             
# Col 4: uncertainty df1 in MeV^-3                
# Format: 2f10.3, 2e12.3                          
# Author: J. Kopecky                              
#    E         dE       fM1           dfM1        
     5.811     0.000   0.210E-07   0.310E-08
     5.837     0.000   0.170E-07   0.340E-08
     5.886     0.000   0.330E-07   0.340E-08
     5.925     0.000   0.205E-07   0.340E-08
     5.966     0.000   0.116E-07   0.180E-08
     5.991     0.000   0.108E-07   0.250E-08
     6.041     0.000   0.156E-07   0.900E-09
     6.101     0.000   0.168E-07   0.230E-08
     6.133     0.000   0.247E-07   0.260E-08
     6.215     0.000   0.182E-07   0.220E-08
     6.231     0.000   0.195E-07   0.270E-08
     6.244     0.000   0.234E-07   0.200E-08
     6.255     0.000   0.175E-07   0.270E-08
     6.294     0.000   0.293E-07   0.250E-08
     6.382     0.000   0.249E-07   0.230E-08
     6.393     0.000   0.197E-07   0.230E-08
     6.406     0.000   0.197E-07   0.210E-08
     6.490     0.000   0.147E-07   0.210E-08
     6.518     0.000   0.344E-07   0.210E-08
     6.606     0.000   0.197E-07   0.190E-08
     6.824     0.000   0.416E-07   0.200E-08
     6.985     0.000   0.426E-07   0.210E-08
     7.184     0.000   0.359E-07   0.250E-08
     7.201     0.000   0.498E-07   0.190E-08
     7.679     0.000   0.426E-07   0.180E-08
     7.738     0.000   0.406E-07   0.130E-08
     7.833     0.000   0.415E-07   0.180E-08
     7.909     0.000   0.375E-07   0.180E-08
     8.485     0.000   0.601E-07   0.160E-08
     9.043     0.000   0.481E-07   0.130E-08
