# f1_exp_032_074_NRF_b.dat                                                      
#                                                                               
# Z = 32, A = 74                                                                
# No. of entries at 12.1 MeV: 38                                                
# Col 1: photon energy E in MeV                                                 
# Col 2: bin width dE in MeV                                                    
# Col 3: dipole strength f1 in MeV^-3                                           
# Col 4: uncertainty df1 in MeV^-3                                              
# Format: 2f10.3, 2e12.3                                                        
# Author: R. Schwengner HZDR                                                    
#    E         dE       f1           df1                                        
     6.500     0.100    0.211E-07    0.130E-07
     6.600     0.100    0.201E-07    0.129E-07
     6.700     0.100    0.246E-07    0.131E-07
     6.800     0.100    0.190E-07    0.119E-07
     6.900     0.100    0.231E-07    0.121E-07
     7.000     0.100    0.185E-07    0.114E-07
     7.100     0.100    0.239E-07    0.123E-07
     7.200     0.100    0.274E-07    0.125E-07
     7.300     0.100    0.258E-07    0.138E-07
     7.400     0.100    0.284E-07    0.112E-07
     7.500     0.100    0.304E-07    0.113E-07
     7.600     0.100    0.392E-07    0.128E-07
     7.700     0.100    0.393E-07    0.125E-07
     7.800     0.100    0.302E-07    0.117E-07
     7.900     0.100    0.289E-07    0.105E-07
     8.000     0.100    0.313E-07    0.103E-07
     8.100     0.100    0.266E-07    0.992E-08
     8.200     0.100    0.298E-07    0.968E-08
     8.300     0.100    0.380E-07    0.105E-07
     8.400     0.100    0.328E-07    0.912E-08
     8.500     0.100    0.287E-07    0.877E-08
     8.600     0.100    0.341E-07    0.929E-08
     8.700     0.100    0.366E-07    0.911E-08
     8.800     0.100    0.413E-07    0.867E-08
     8.900     0.100    0.414E-07    0.116E-07
     9.000     0.100    0.377E-07    0.714E-08
     9.100     0.100    0.437E-07    0.705E-08
     9.200     0.100    0.429E-07    0.669E-08
     9.300     0.100    0.399E-07    0.578E-08
     9.400     0.100    0.473E-07    0.632E-08
     9.500     0.100    0.415E-07    0.580E-08
     9.600     0.100    0.390E-07    0.538E-08
     9.700     0.100    0.396E-07    0.487E-08
     9.800     0.100    0.512E-07    0.512E-08
     9.900     0.100    0.514E-07    0.462E-08
    10.000     0.100    0.575E-07    0.456E-08
    10.100     0.100    0.676E-07    0.433E-08
    10.200     0.100    0.590E-07    0.378E-08
