# f1_exp_040_090_NRF.dat                                                        
#                                                                               
# Z = 40, A = 90                                                                
# No. of entries: 81                                                            
# Col 1: photon energy E in MeV                                                 
# Col 2: bin width dE in MeV                                                    
# Col 3: dipole strength f1 in MeV^-3                                           
# Col 4: uncertainty df1 in MeV^-3                                              
# Format: 2f10.3, 2e12.3                                                        
# Author: R. Schwengner HZDR                                                    
#    E         dE       f1           df1                                        
     5.000     0.100    0.228E-07    0.226E-07
     5.100     0.100    0.262E-07    0.255E-07
     5.200     0.100    0.334E-07    0.317E-07
     5.300     0.100    0.313E-07    0.295E-07
     5.400     0.100    0.572E-07    0.562E-07
     5.500     0.100    0.387E-07    0.378E-07
     5.600     0.100    0.551E-07    0.542E-07
     5.700     0.100    0.274E-07    0.259E-07
     5.800     0.100    0.386E-07    0.374E-07
     5.900     0.100    0.103E-06    0.101E-06
     6.000     0.100    0.549E-07    0.535E-07
     6.100     0.100    0.565E-07    0.540E-07
     6.200     0.100    0.523E-07    0.504E-07
     6.300     0.100    0.215E-06    0.207E-06
     6.400     0.100    0.136E-06    0.134E-06
     6.500     0.100    0.179E-06    0.174E-06
     6.600     0.100    0.622E-07    0.605E-07
     6.700     0.100    0.570E-07    0.557E-07
     6.800     0.100    0.201E-06    0.191E-06
     6.900     0.100    0.869E-07    0.689E-07
     7.000     0.100    0.561E-07    0.404E-07
     7.100     0.100    0.427E-07    0.342E-07
     7.200     0.100    0.407E-07    0.181E-07
     7.300     0.100    0.546E-07    0.350E-07
     7.400     0.100    0.556E-07    0.340E-07
     7.500     0.100    0.737E-07    0.254E-07
     7.600     0.100    0.377E-07    0.102E-07
     7.700     0.100    0.711E-07    0.131E-07
     7.800     0.100    0.761E-07    0.136E-07
     7.900     0.100    0.710E-07    0.122E-07
     8.000     0.100    0.965E-07    0.136E-07
     8.100     0.100    0.541E-07    0.968E-08
     8.200     0.100    0.107E-06    0.149E-07
     8.300     0.100    0.104E-06    0.122E-07
     8.400     0.100    0.746E-07    0.104E-07
     8.500     0.100    0.130E-06    0.157E-07
     8.600     0.100    0.114E-06    0.151E-07
     8.700     0.100    0.767E-07    0.137E-07
     8.800     0.100    0.111E-06    0.122E-07
     8.900     0.100    0.807E-07    0.944E-08
     9.000     0.100    0.777E-07    0.915E-08
     9.100     0.100    0.107E-06    0.107E-07
     9.200     0.100    0.282E-06    0.332E-07
     9.300     0.100    0.143E-06    0.147E-07
     9.400     0.100    0.138E-06    0.141E-07
     9.500     0.100    0.152E-06    0.176E-07
     9.600     0.100    0.131E-06    0.152E-07
     9.700     0.100    0.104E-06    0.123E-07
     9.800     0.100    0.824E-07    0.102E-07
     9.900     0.100    0.101E-06    0.120E-07
    10.000     0.100    0.122E-06    0.147E-07
    10.100     0.100    0.156E-06    0.182E-07
    10.200     0.100    0.110E-06    0.149E-07
    10.300     0.100    0.987E-07    0.139E-07
    10.400     0.100    0.146E-06    0.194E-07
    10.500     0.100    0.886E-07    0.144E-07
    10.600     0.100    0.125E-06    0.201E-07
    10.700     0.100    0.101E-06    0.172E-07
    10.800     0.100    0.846E-07    0.149E-07
    10.900     0.100    0.933E-07    0.154E-07
    11.000     0.100    0.115E-06    0.165E-07
    11.100     0.100    0.812E-07    0.130E-07
    11.200     0.100    0.912E-07    0.141E-07
    11.300     0.100    0.978E-07    0.150E-07
    11.400     0.100    0.881E-07    0.130E-07
    11.500     0.100    0.131E-06    0.175E-07
    11.600     0.100    0.919E-07    0.126E-07
    11.700     0.100    0.757E-07    0.112E-07
    11.800     0.100    0.787E-07    0.109E-07
    11.900     0.100    0.545E-07    0.847E-08
    12.000     0.100    0.679E-07    0.906E-08
    12.100     0.100    0.910E-07    0.123E-07
    12.200     0.100    0.313E-07    0.826E-09
    12.300     0.100    0.370E-07    0.977E-09
    12.400     0.100    0.285E-07    0.753E-09
    12.500     0.100    0.276E-07    0.731E-09
    12.600     0.100    0.212E-07    0.560E-09
    12.700     0.100    0.103E-07    0.272E-09
    12.800     0.100    0.823E-08    0.217E-09
    12.900     0.100    0.699E-08    0.185E-09
    13.000     0.100    0.266E-08    0.701E-10
