# f1_exp_042_096_NRF.dat                                                        
#                                                                               
# Z = 42, A = 96                                                                
# No. of entries: 19                                                            
# Col  1: photon energy E in MeV                                                
# Col  2: bin width dE in MeV                                                   
# Col  3: dipole strength f1 in MeV^-3                                          
# Col  4: uncertainty df1 in MeV^-3                                             
# Format: 2f10.3, 6e12.3                                                        
# Author: R. Schwengner HZDR                                                    
#    E         dE       f1          df1                                         
     5.300     0.200    0.363E-07    0.834E-08
     5.500     0.200    0.173E-07    0.803E-08
     5.700     0.200    0.316E-07    0.465E-08
     5.900     0.200    0.317E-07    0.598E-08
     6.100     0.200    0.640E-07    0.434E-08
     6.300     0.200    0.479E-07    0.699E-08
     6.500     0.200    0.694E-07    0.542E-08
     6.700     0.200    0.789E-07    0.789E-08
     6.900     0.200    0.732E-07    0.765E-08
     7.100     0.200    0.741E-07    0.743E-08
     7.300     0.200    0.787E-07    0.723E-08
     7.500     0.200    0.773E-07    0.820E-08
     7.700     0.200    0.724E-07    0.799E-08
     7.900     0.200    0.922E-07    0.778E-08
     8.100     0.200    0.881E-07    0.759E-08
     8.300     0.200    0.832E-07    0.740E-08
     8.500     0.200    0.893E-07    0.723E-08
     8.700     0.200    0.757E-07    0.706E-08
     8.900     0.200    0.858E-07    0.591E-08
