# f1_exp_042_096_NRF_lower.dat                                                  
#                                                                               
# Z = 42, A = 96                                                                
# No. of entries: 19                                                            
# Col  1: photon energy E in MeV                                                
# Col  2: bin width dE in MeV                                                   
# Col  3: lower limit for f1 in MeV^-3 from uncertainty analysis                
# Col  4: uncertainty df1 in MeV^-3                                             
# Format: 2f10.3, 6e12.3                                                        
# Author: R. Schwengner HZDR                                                    
#    E         dE       f1          df1                                         
     5.300     0.200    0.296E-07    0.834E-08
     5.500     0.200    0.801E-08    0.403E-08
     5.700     0.200    0.247E-07    0.465E-08
     5.900     0.200    0.249E-07    0.598E-08
     6.100     0.200    0.619E-07    0.434E-08
     6.300     0.200    0.437E-07    0.699E-08
     6.500     0.200    0.671E-07    0.542E-08
     6.700     0.200    0.745E-07    0.789E-08
     6.900     0.200    0.677E-07    0.765E-08
     7.100     0.200    0.670E-07    0.743E-08
     7.300     0.200    0.696E-07    0.723E-08
     7.500     0.200    0.671E-07    0.820E-08
     7.700     0.200    0.619E-07    0.799E-08
     7.900     0.200    0.775E-07    0.778E-08
     8.100     0.200    0.730E-07    0.759E-08
     8.300     0.200    0.681E-07    0.740E-08
     8.500     0.200    0.721E-07    0.723E-08
     8.700     0.200    0.602E-07    0.706E-08
     8.900     0.200    0.672E-07    0.591E-08
