# f1_exp_042_096_NRF_upper.dat                                                  
#                                                                               
# Z = 42, A = 96                                                                
# No. of entries: 19                                                            
# Col  1: photon energy E in MeV                                                
# Col  2: bin width dE in MeV                                                   
# Col  3: upper limit for f1 in MeV^-3 from uncertainty analysis                
# Col  4: uncertainty df1 in MeV^-3                                             
# Format: 2f10.3, 2e12.3                                                        
# Author: R. Schwengner HZDR                                                    
#    E         dE       f1          df1                                         
     5.300     0.200    0.464E-07    0.834E-08
     5.500     0.200    0.327E-07    0.803E-08
     5.700     0.200    0.457E-07    0.465E-08
     5.900     0.200    0.445E-07    0.598E-08
     6.100     0.200    0.648E-07    0.434E-08
     6.300     0.200    0.580E-07    0.699E-08
     6.500     0.200    0.711E-07    0.542E-08
     6.700     0.200    0.817E-07    0.789E-08
     6.900     0.200    0.780E-07    0.765E-08
     7.100     0.200    0.844E-07    0.743E-08
     7.300     0.200    0.974E-07    0.723E-08
     7.500     0.200    0.100E-06    0.820E-08
     7.700     0.200    0.968E-07    0.799E-08
     7.900     0.200    0.138E-06    0.778E-08
     8.100     0.200    0.137E-06    0.759E-08
     8.300     0.200    0.134E-06    0.740E-08
     8.500     0.200    0.152E-06    0.723E-08
     8.700     0.200    0.133E-06    0.706E-08
     8.900     0.200    0.158E-06    0.591E-08
