# f1_exp_054_124_NRF.dat                                                        
#                                                                               
# Z = 54, A = 124                                                               
# No. of entries: 36                                                            
# Col 1: photon energy E in MeV                                                 
# Col 2: bin width dE in MeV                                                    
# Col 3: dipole strength f1 in MeV^-3                                           
# Col 4: uncertainty df1 in MeV^-3                                              
# Format: 2f10.3, 2e12.3                                                        
# Author: R. Schwengner HZDR                                                    
#    E         dE       f1           df1                                        
     7.000     0.100    0.190E-06    0.101E-06
     7.100     0.100    0.134E-06    0.932E-07
     7.200     0.100    0.145E-06    0.882E-07
     7.300     0.100    0.163E-06    0.847E-07
     7.400     0.100    0.103E-06    0.796E-07
     7.500     0.100    0.719E-07    0.735E-07
     7.600     0.100    0.134E-06    0.721E-07
     7.700     0.100    0.115E-06    0.683E-07
     7.800     0.100    0.140E-06    0.625E-07
     7.900     0.100    0.980E-07    0.607E-07
     8.000     0.100    0.964E-07    0.592E-07
     8.100     0.100    0.166E-06    0.571E-07
     8.200     0.100    0.143E-06    0.628E-07
     8.300     0.100    0.153E-06    0.533E-07
     8.400     0.100    0.191E-06    0.518E-07
     8.500     0.100    0.109E-06    0.393E-07
     8.600     0.100    0.130E-06    0.553E-07
     8.700     0.100    0.249E-06    0.416E-07
     8.800     0.100    0.189E-06    0.412E-07
     8.900     0.100    0.142E-06    0.719E-07
     9.000     0.100    0.187E-06    0.643E-07
     9.100     0.100    0.278E-06    0.366E-07
     9.200     0.100    0.145E-06    0.243E-07
     9.300     0.100    0.221E-06    0.260E-07
     9.400     0.100    0.208E-06    0.229E-07
     9.500     0.100    0.228E-06    0.286E-07
     9.600     0.100    0.292E-06    0.263E-07
     9.700     0.100    0.211E-06    0.245E-07
     9.800     0.100    0.298E-06    0.222E-07
     9.900     0.100    0.244E-06    0.145E-07
    10.000     0.100    0.365E-06    0.517E-07
    10.100     0.100    0.265E-06    0.347E-07
    10.200     0.100    0.333E-06    0.162E-07
    10.300     0.100    0.297E-06    0.287E-07
    10.400     0.100    0.359E-06    0.332E-07
    10.500     0.100    0.344E-06    0.102E-07
