# f1_exp_022_044_OM_ct.dat                                                      
#                                                                               
# Z = 22, A = 44                                                                
# No. of entries: 34                                                            
# Col 1: photon energy E in MeV                                                 
# Col 2: bin width dE in MeV                                                    
# Col 3: dipole strength f1 in MeV^-3                                           
# Col 4: uncertainty df1 in MeV^-3                                              
# Format: 2f10.3, 2e12.3                                                        
# Author: A. C. Larsen et al., Phys. Rev. C85, 014320 (2012)                    
#    E         dE       f1           df1                                        
     2.173     0.233    0.400E-08    0.327E-09
     2.406     0.233    0.297E-08    0.273E-09
     2.640     0.233    0.243E-08    0.206E-09
     2.873     0.233    0.163E-08    0.201E-09
     3.107     0.233    0.211E-08    0.185E-09
     3.340     0.233    0.251E-08    0.184E-09
     3.573     0.233    0.289E-08    0.158E-09
     3.807     0.233    0.374E-08    0.150E-09
     4.040     0.233    0.248E-08    0.150E-09
     4.274     0.233    0.224E-08    0.145E-09
     4.507     0.233    0.254E-08    0.168E-09
     4.740     0.233    0.283E-08    0.176E-09
     4.974     0.233    0.269E-08    0.170E-09
     5.207     0.233    0.289E-08    0.217E-09
     5.441     0.233    0.334E-08    0.225E-09
     5.674     0.233    0.399E-08    0.298E-09
     5.907     0.233    0.348E-08    0.306E-09
     6.141     0.233    0.333E-08    0.312E-09
     6.374     0.233    0.348E-08    0.344E-09
     6.608     0.233    0.352E-08    0.390E-09
     6.841     0.233    0.422E-08    0.458E-09
     7.074     0.233    0.574E-08    0.611E-09
     7.308     0.233    0.716E-08    0.751E-09
     7.541     0.233    0.748E-08    0.869E-09
     7.775     0.233    0.576E-08    0.830E-09
     8.008     0.233    0.592E-08    0.112E-08
     8.241     0.233    0.583E-08    0.103E-08
     8.475     0.233    0.436E-08    0.112E-08
     8.708     0.233    0.387E-08    0.131E-08
     8.942     0.233    0.425E-08    0.200E-08
     9.175     0.233    0.772E-08    0.288E-08
     9.408     0.233    0.543E-08    0.392E-08
     9.642     0.233    0.560E-08    0.475E-08
     9.875     0.233    0.576E-08    0.614E-08
