# f1_exp_022_044_OM_ghk.dat                                                     
#                                                                               
# Z = 22, A = 44                                                                
# No. of entries: 34                                                            
# Col 1: photon energy E in MeV                                                 
# Col 2: bin width dE in MeV                                                    
# Col 3: dipole strength f1 in MeV^-3                                           
# Col 4: uncertainty df1 in MeV^-3                                              
# Format: 2f10.3, 2e12.3                                                        
# Author: A. C. Larsen et al., Phys. Rev. C85, 014320 (2012)                    
#    E         dE       f1           df1                                        
     2.173     0.233    0.141E-08    0.116E-09
     2.406     0.233    0.111E-08    0.102E-09
     2.640     0.233    0.960E-09    0.811E-10
     2.873     0.233    0.677E-09    0.835E-10
     3.107     0.233    0.927E-09    0.811E-10
     3.340     0.233    0.116E-08    0.852E-10
     3.573     0.233    0.142E-08    0.775E-10
     3.807     0.233    0.194E-08    0.775E-10
     4.040     0.233    0.135E-08    0.818E-10
     4.274     0.233    0.129E-08    0.838E-10
     4.507     0.233    0.155E-08    0.102E-09
     4.740     0.233    0.182E-08    0.113E-09
     4.974     0.233    0.183E-08    0.115E-09
     5.207     0.233    0.207E-08    0.155E-09
     5.441     0.233    0.252E-08    0.170E-09
     5.674     0.233    0.319E-08    0.238E-09
     5.907     0.233    0.294E-08    0.258E-09
     6.141     0.233    0.296E-08    0.278E-09
     6.374     0.233    0.327E-08    0.324E-09
     6.608     0.233    0.349E-08    0.387E-09
     6.841     0.233    0.442E-08    0.480E-09
     7.074     0.233    0.634E-08    0.675E-09
     7.308     0.233    0.837E-08    0.877E-09
     7.541     0.233    0.922E-08    0.107E-08
     7.775     0.233    0.750E-08    0.108E-08
     8.008     0.233    0.813E-08    0.154E-08
     8.241     0.233    0.846E-08    0.149E-08
     8.475     0.233    0.667E-08    0.171E-08
     8.708     0.233    0.626E-08    0.212E-08
     8.942     0.233    0.725E-08    0.341E-08
     9.175     0.233    0.139E-07    0.518E-08
     9.408     0.233    0.103E-07    0.745E-08
     9.642     0.233    0.113E-07    0.955E-08
     9.875     0.233    0.122E-07    0.130E-07
