# f1_exp_022_046_OM.dat                                                         
#                                                                               
# Z = 22, A = 46                                                                
# No. of entries: 72                                                            
# Col 1: photon energy E in MeV                                                 
# Col 2: bin width dE in MeV                                                    
# Col 3: dipole strength f1 in MeV^-3                                           
# Col 4: uncertainty df1 in MeV^-3                                              
# Format: 2f10.3, 2e12.3                                                        
# Author: M. Guttormsen et al., Phys. Rev. C 83, 014312 (2011)                  
#    E         dE       f1           df1                                        
     1.250     0.120    0.677E-07    0.785E-09
     1.370     0.120    0.470E-07    0.705E-09
     1.490     0.120    0.298E-07    0.651E-09
     1.610     0.120    0.335E-07    0.433E-09
     1.730     0.120    0.206E-07    0.402E-09
     1.850     0.120    0.239E-07    0.370E-09
     1.970     0.120    0.246E-07    0.370E-09
     2.090     0.120    0.197E-07    0.324E-09
     2.210     0.120    0.172E-07    0.329E-09
     2.330     0.120    0.234E-07    0.306E-09
     2.450     0.120    0.188E-07    0.302E-09
     2.570     0.120    0.133E-07    0.249E-09
     2.690     0.120    0.186E-07    0.275E-09
     2.810     0.120    0.196E-07    0.258E-09
     2.930     0.120    0.181E-07    0.282E-09
     3.050     0.120    0.168E-07    0.220E-09
     3.170     0.120    0.190E-07    0.215E-09
     3.290     0.120    0.187E-07    0.205E-09
     3.410     0.120    0.143E-07    0.178E-09
     3.530     0.120    0.110E-07    0.188E-09
     3.650     0.120    0.917E-08    0.172E-09
     3.770     0.120    0.858E-08    0.166E-09
     3.890     0.120    0.836E-08    0.140E-09
     4.010     0.120    0.736E-08    0.126E-09
     4.130     0.120    0.663E-08    0.112E-09
     4.250     0.120    0.621E-08    0.947E-10
     4.370     0.120    0.679E-08    0.105E-09
     4.490     0.120    0.698E-08    0.104E-09
     4.610     0.120    0.677E-08    0.948E-10
     4.730     0.120    0.693E-08    0.963E-10
     4.850     0.120    0.653E-08    0.925E-10
     4.970     0.120    0.671E-08    0.903E-10
     5.090     0.120    0.744E-08    0.118E-09
     5.210     0.120    0.727E-08    0.115E-09
     5.330     0.120    0.697E-08    0.973E-10
     5.450     0.120    0.723E-08    0.108E-09
     5.570     0.120    0.716E-08    0.959E-10
     5.690     0.120    0.679E-08    0.111E-09
     5.810     0.120    0.675E-08    0.106E-09
     5.930     0.120    0.569E-08    0.104E-09
     6.050     0.120    0.561E-08    0.997E-10
     6.170     0.120    0.619E-08    0.103E-09
     6.290     0.120    0.588E-08    0.102E-09
     6.410     0.120    0.631E-08    0.108E-09
     6.530     0.120    0.710E-08    0.116E-09
     6.650     0.120    0.709E-08    0.999E-10
     6.770     0.120    0.683E-08    0.129E-09
     6.890     0.120    0.656E-08    0.124E-09
     7.010     0.120    0.674E-08    0.112E-09
     7.130     0.120    0.658E-08    0.132E-09
     7.250     0.120    0.626E-08    0.113E-09
     7.370     0.120    0.642E-08    0.143E-09
     7.490     0.120    0.611E-08    0.107E-09
     7.610     0.120    0.641E-08    0.118E-09
     7.730     0.120    0.623E-08    0.103E-09
     7.850     0.120    0.647E-08    0.120E-09
     7.970     0.120    0.656E-08    0.144E-09
     8.090     0.120    0.691E-08    0.125E-09
     8.210     0.120    0.720E-08    0.150E-09
     8.330     0.120    0.698E-08    0.138E-09
     8.450     0.120    0.758E-08    0.153E-09
     8.570     0.120    0.761E-08    0.138E-09
     8.690     0.120    0.702E-08    0.132E-09
     8.810     0.120    0.693E-08    0.129E-09
     8.930     0.120    0.694E-08    0.174E-09
     9.050     0.120    0.737E-08    0.189E-09
     9.170     0.120    0.742E-08    0.185E-09
     9.290     0.120    0.843E-08    0.213E-09
     9.410     0.120    0.104E-07    0.226E-09
     9.530     0.120    0.106E-07    0.319E-09
     9.650     0.120    0.109E-07    0.482E-09
     9.770     0.120    0.130E-07    0.785E-09
