# f1_exp_023_050_OM.dat                                                         
#                                                                               
# Z = 23, A = 50                                                                
# No. of entries: 29                                                            
# Col 1: photon energy E in MeV                                                 
# Col 2: bin width dE in MeV                                                    
# Col 3: dipole strength f1 in MeV^-3                                           
# Col 4: uncertainty df1 in MeV^-3                                              
# Format: 2f10.3, 2e12.3                                                        
# Author: A. C. Larsen et al., Phys. Rev. C 73, 064301 (2006)                   
#    E         dE       f1           df1                                        
     2.010     0.255    0.676E-08    0.313E-09
     2.265     0.255    0.623E-08    0.194E-09
     2.521     0.255    0.591E-08    0.182E-09
     2.776     0.255    0.484E-08    0.144E-09
     3.032     0.255    0.305E-08    0.114E-09
     3.287     0.255    0.362E-08    0.118E-09
     3.542     0.255    0.479E-08    0.138E-09
     3.798     0.255    0.429E-08    0.133E-09
     4.053     0.255    0.402E-08    0.138E-09
     4.309     0.255    0.428E-08    0.143E-09
     4.564     0.255    0.431E-08    0.126E-09
     4.819     0.255    0.459E-08    0.146E-09
     5.075     0.255    0.479E-08    0.172E-09
     5.330     0.255    0.494E-08    0.175E-09
     5.586     0.255    0.500E-08    0.173E-09
     5.841     0.255    0.579E-08    0.220E-09
     6.096     0.255    0.603E-08    0.262E-09
     6.352     0.255    0.582E-08    0.251E-09
     6.607     0.255    0.677E-08    0.344E-09
     6.863     0.255    0.799E-08    0.401E-09
     7.118     0.255    0.737E-08    0.401E-09
     7.373     0.255    0.919E-08    0.487E-09
     7.629     0.255    0.886E-08    0.522E-09
     7.884     0.255    0.947E-08    0.542E-09
     8.140     0.255    0.115E-07    0.558E-09
     8.395     0.255    0.921E-08    0.567E-09
     8.650     0.255    0.130E-07    0.101E-08
     8.906     0.255    0.136E-07    0.233E-08
     9.161     0.255    0.913E-08    0.508E-08
