# f1_exp_026_056_OM_a_2004.dat                                                  
#                                                                               
# Z = 26, A = 56                                                                
# No. of entries: 40                                                            
# Col 1: photon energy E in MeV                                                 
# Col 2: bin width dE in MeV                                                    
# Col 3: dipole strength f1 in MeV^-3                                           
# Col 4: uncertainty df1 in MeV^-3                                              
# Format: 2f10.3, 2e12.3                                                        
# Author: A. Voinov et al., Phys. Rev. Lett. 93, 142504 (2004)                  
#    E         dE       f1           df1                                        
     0.955     0.238    0.134E-06    0.903E-08
     1.193     0.238    0.126E-06    0.504E-08
     1.432     0.238    0.372E-07    0.296E-08
     1.670     0.238    0.247E-07    0.202E-08
     1.908     0.238    0.187E-07    0.140E-08
     2.147     0.238    0.110E-07    0.121E-08
     2.385     0.238    0.139E-07    0.121E-08
     2.623     0.238    0.146E-07    0.119E-08
     2.862     0.238    0.104E-07    0.963E-09
     3.100     0.238    0.887E-08    0.785E-09
     3.338     0.238    0.958E-08    0.822E-09
     3.577     0.238    0.965E-08    0.833E-09
     3.815     0.238    0.957E-08    0.933E-09
     4.053     0.238    0.982E-08    0.805E-09
     4.292     0.238    0.835E-08    0.927E-09
     4.530     0.238    0.841E-08    0.947E-09
     4.768     0.238    0.983E-08    0.965E-09
     5.007     0.238    0.105E-07    0.101E-08
     5.245     0.238    0.980E-08    0.126E-08
     5.483     0.238    0.106E-07    0.114E-08
     5.722     0.238    0.110E-07    0.139E-08
     5.960     0.238    0.127E-07    0.147E-08
     6.198     0.238    0.121E-07    0.158E-08
     6.437     0.238    0.138E-07    0.195E-08
     6.675     0.238    0.146E-07    0.203E-08
     6.913     0.238    0.169E-07    0.258E-08
     7.152     0.238    0.191E-07    0.276E-08
     7.390     0.238    0.277E-07    0.410E-08
     7.628     0.238    0.241E-07    0.426E-08
     7.867     0.238    0.322E-07    0.569E-08
     8.105     0.238    0.404E-07    0.641E-08
     8.343     0.238    0.441E-07    0.994E-08
     8.582     0.238    0.451E-07    0.109E-07
     8.820     0.238    0.534E-07    0.111E-07
     9.058     0.238    0.490E-07    0.129E-07
     9.297     0.238    0.522E-07    0.166E-07
     9.535     0.238    0.574E-07    0.234E-07
     9.773     0.238    0.737E-07    0.327E-07
    10.012     0.238    0.674E-07    0.463E-07
    10.250     0.238    0.315E-07    0.327E-07
