# f1_exp_028_065_OM_lower.dat                                                   
#                                                                               
# Z = 28, A = 65                                                                
# No. of entries: 37                                                            
# Col 1: photon energy E in MeV                                                 
# Col 2: bin width dE in MeV                                                    
# Col 3: dipole strength f1 in MeV^-3                                           
# Col 4: uncertainty df1 in MeV^-3                                              
# Format: 2f10.3, 2e12.3                                                        
# Author: L. Crespo Campo et al., Phys. Rev. C 96, 014312 (2017)                
#    E         dE       f1           df1                                        
     1.608     0.124    0.109E-07    0.162E-07
     1.732     0.124    0.188E-07    0.139E-07
     1.856     0.124    0.271E-07    0.165E-07
     1.980     0.124    0.217E-07    0.196E-07
     2.104     0.124    0.193E-07    0.112E-07
     2.228     0.124    0.221E-07    0.127E-07
     2.352     0.124    0.150E-07    0.177E-07
     2.476     0.124    0.134E-07    0.153E-07
     2.600     0.124    0.162E-07    0.117E-07
     2.724     0.124    0.139E-07    0.114E-07
     2.848     0.124    0.165E-07    0.103E-07
     2.972     0.124    0.196E-07    0.130E-07
     3.096     0.124    0.112E-07    0.139E-07
     3.220     0.124    0.127E-07    0.142E-07
     3.344     0.124    0.177E-07    0.147E-07
     3.468     0.124    0.153E-07    0.179E-07
     3.592     0.124    0.117E-07    0.215E-07
     3.716     0.124    0.114E-07    0.190E-07
     3.840     0.124    0.103E-07    0.164E-07
     3.964     0.124    0.130E-07    0.128E-07
     4.088     0.124    0.139E-07    0.113E-07
     4.212     0.124    0.142E-07    0.133E-07
     4.336     0.124    0.147E-07    0.155E-07
     4.460     0.124    0.179E-07    0.148E-07
     4.584     0.124    0.215E-07    0.145E-07
     4.708     0.124    0.190E-07    0.206E-07
     4.832     0.124    0.164E-07    0.165E-07
     4.956     0.124    0.128E-07    0.130E-07
     5.080     0.124    0.113E-07    0.983E-08
     5.204     0.124    0.133E-07    0.000E+00
     5.328     0.124    0.155E-07    0.000E+00
     5.452     0.124    0.148E-07    0.000E+00
     5.576     0.124    0.145E-07    0.000E+00
     5.700     0.124    0.206E-07    0.000E+00
     5.824     0.124    0.165E-07    0.000E+00
     5.948     0.124    0.130E-07    0.000E+00
     6.072     0.124    0.983E-08    0.000E+00
