# f1_exp_028_065_OM_rec.dat                                                     
#                                                                               
# Z = 28, A = 65                                                                
# No. of entries: 37                                                            
# Col 1: photon energy E in MeV                                                 
# Col 2: bin width dE in MeV                                                    
# Col 3: dipole strength f1 in MeV^-3                                           
# Col 4: uncertainty df1 in MeV^-3                                              
# Format: 2f10.3, 2e12.3                                                        
# Author: L. Crespo Campo et al., Phys. Rev. C 96, 014312 (2017)                
#    E         dE       f1           df1                                        
     1.608     0.124    0.216E-07    0.331E-07
     1.732     0.124    0.373E-07    0.283E-07
     1.856     0.124    0.541E-07    0.339E-07
     1.980     0.124    0.434E-07    0.405E-07
     2.104     0.124    0.387E-07    0.232E-07
     2.228     0.124    0.446E-07    0.263E-07
     2.352     0.124    0.302E-07    0.369E-07
     2.476     0.124    0.272E-07    0.319E-07
     2.600     0.124    0.331E-07    0.245E-07
     2.724     0.124    0.283E-07    0.240E-07
     2.848     0.124    0.339E-07    0.217E-07
     2.972     0.124    0.405E-07    0.275E-07
     3.096     0.124    0.232E-07    0.296E-07
     3.220     0.124    0.263E-07    0.304E-07
     3.344     0.124    0.369E-07    0.316E-07
     3.468     0.124    0.319E-07    0.385E-07
     3.592     0.124    0.245E-07    0.464E-07
     3.716     0.124    0.240E-07    0.412E-07
     3.840     0.124    0.217E-07    0.358E-07
     3.964     0.124    0.275E-07    0.279E-07
     4.088     0.124    0.296E-07    0.247E-07
     4.212     0.124    0.304E-07    0.292E-07
     4.336     0.124    0.316E-07    0.343E-07
     4.460     0.124    0.385E-07    0.329E-07
     4.584     0.124    0.464E-07    0.324E-07
     4.708     0.124    0.412E-07    0.461E-07
     4.832     0.124    0.358E-07    0.369E-07
     4.956     0.124    0.279E-07    0.291E-07
     5.080     0.124    0.247E-07    0.222E-07
     5.204     0.124    0.292E-07    0.000E+00
     5.328     0.124    0.343E-07    0.000E+00
     5.452     0.124    0.329E-07    0.000E+00
     5.576     0.124    0.324E-07    0.000E+00
     5.700     0.124    0.461E-07    0.000E+00
     5.824     0.124    0.369E-07    0.000E+00
     5.948     0.124    0.291E-07    0.000E+00
     6.072     0.124    0.222E-07    0.000E+00
