# f1_exp_028_065_OM_upper.dat                                                   
#                                                                               
# Z = 28, A = 65                                                                
# No. of entries: 37                                                            
# Col 1: photon energy E in MeV                                                 
# Col 2: bin width dE in MeV                                                    
# Col 3: dipole strength f1 in MeV^-3                                           
# Col 4: uncertainty df1 in MeV^-3                                              
# Format: 2f10.3, 2e12.3                                                        
# Author: L. Crespo Campo et al., Phys. Rev. C 96, 014312 (2017)                
#    E         dE       f1           df1                                        
     1.608     0.124    0.347E-07    0.538E-07
     1.732     0.124    0.601E-07    0.462E-07
     1.856     0.124    0.873E-07    0.552E-07
     1.980     0.124    0.700E-07    0.661E-07
     2.104     0.124    0.626E-07    0.379E-07
     2.228     0.124    0.722E-07    0.431E-07
     2.352     0.124    0.490E-07    0.605E-07
     2.476     0.124    0.441E-07    0.523E-07
     2.600     0.124    0.538E-07    0.402E-07
     2.724     0.124    0.462E-07    0.395E-07
     2.848     0.124    0.552E-07    0.358E-07
     2.972     0.124    0.661E-07    0.455E-07
     3.096     0.124    0.379E-07    0.489E-07
     3.220     0.124    0.431E-07    0.504E-07
     3.344     0.124    0.605E-07    0.524E-07
     3.468     0.124    0.523E-07    0.639E-07
     3.592     0.124    0.402E-07    0.771E-07
     3.716     0.124    0.395E-07    0.685E-07
     3.840     0.124    0.358E-07    0.596E-07
     3.964     0.124    0.455E-07    0.466E-07
     4.088     0.124    0.489E-07    0.413E-07
     4.212     0.124    0.504E-07    0.489E-07
     4.336     0.124    0.524E-07    0.575E-07
     4.460     0.124    0.639E-07    0.552E-07
     4.584     0.124    0.771E-07    0.544E-07
     4.708     0.124    0.685E-07    0.776E-07
     4.832     0.124    0.596E-07    0.623E-07
     4.956     0.124    0.466E-07    0.492E-07
     5.080     0.124    0.413E-07    0.375E-07
     5.204     0.124    0.489E-07    0.000E+00
     5.328     0.124    0.575E-07    0.000E+00
     5.452     0.124    0.552E-07    0.000E+00
     5.576     0.124    0.544E-07    0.000E+00
     5.700     0.124    0.776E-07    0.000E+00
     5.824     0.124    0.623E-07    0.000E+00
     5.948     0.124    0.492E-07    0.000E+00
     6.072     0.124    0.375E-07    0.000E+00
