# f1_exp_028_069_bOM_rec.dat                                                    
#                                                                               
# Z = 28, A = 69                                                                
# No. of entries: 12                                                            
# Col 1: photon energy E in MeV                                                 
# Col 2: bin width dE in MeV                                                    
# Col 3: dipole strength f1 in MeV^-3                                           
# Col 4: uncertainty df1 in MeV^-3                                              
# Format: 2f10.3, 2e12.3                                                        
# Author: Spyrou et al., JPG 44, 044002 (2017)                                  
#    E         dE       f1           df1                                        
     1.000     0.200    0.137E-07    0.531E-08
     1.400     0.200    0.958E-08    0.180E-08
     1.800     0.200    0.678E-08    0.977E-09
     2.200     0.200    0.778E-08    0.101E-08
     2.600     0.200    0.676E-08    0.899E-09
     3.000     0.200    0.712E-08    0.992E-09
     3.400     0.200    0.647E-08    0.106E-08
     3.800     0.200    0.900E-08    0.151E-08
     4.200     0.200    0.115E-07    0.224E-08
     4.600     0.200    0.143E-07    0.328E-08
     5.000     0.200    0.176E-07    0.491E-08
     5.400     0.200    0.366E-07    0.116E-07
