# f1_exp_028_070_bOM_lower.dat                                                  
#                                                                               
# Z = 28, A = 70                                                                
# No. of entries: 38                                                            
# Col 1: photon energy E in MeV                                                 
# Col 2: bin width dE in MeV                                                    
# Col 3: dipole strength f1 in MeV^-3                                           
# Col 4: uncertainty df1 in MeV^-3                                              
# Format: 2f10.3, 2e12.3                                                        
# Author: A.C. Larsen et al., Phys. Rev. C 97, 054329 (2018)                    
#    E         dE       f1           df1                                        
     1.475     0.200    0.762E-08    0.121E-08
     1.675     0.200    0.483E-08    0.662E-09
     1.875     0.200    0.280E-08    0.636E-09
     2.075     0.200    0.353E-08    0.513E-09
     2.275     0.200    0.288E-08    0.469E-09
     2.475     0.200    0.212E-08    0.365E-09
     2.675     0.200    0.199E-08    0.327E-09
     2.875     0.200    0.201E-08    0.351E-09
     3.075     0.200    0.176E-08    0.315E-09
     3.275     0.200    0.231E-08    0.516E-09
     3.475     0.200    0.179E-08    0.415E-09
     3.675     0.200    0.310E-08    0.574E-09
     3.875     0.200    0.348E-08    0.773E-09
     4.075     0.200    0.385E-08    0.913E-09
     4.275     0.200    0.422E-08    0.993E-09
     4.475     0.200    0.559E-08    0.101E-08
     4.675     0.200    0.520E-08    0.872E-09
     4.875     0.200    0.489E-08    0.900E-09
     5.075     0.200    0.498E-08    0.111E-08
     5.275     0.200    0.648E-08    0.167E-08
     5.475     0.200    0.793E-08    0.188E-08
     5.675     0.200    0.514E-08    0.122E-08
     5.875     0.200    0.471E-08    0.140E-08
     6.075     0.200    0.883E-08    0.263E-08
     6.275     0.200    0.692E-08    0.197E-08
     6.475     0.200    0.658E-08    0.203E-08
     6.675     0.200    0.139E-07    0.562E-08
     6.875     0.200    0.125E-07    0.455E-08
     7.075     0.200    0.204E-07    0.932E-08
     7.275     0.200    0.177E-07    0.677E-08
     7.475     0.200    0.332E-07    0.127E-07
     7.675     0.200    0.304E-07    0.137E-07
     7.875     0.200    0.372E-07    0.154E-07
     8.075     0.200    0.355E-07    0.315E-07
     8.275     0.200    0.523E-06    0.331E-06
     8.475     0.200    0.109E-06    0.829E-07
     8.675     0.200    0.112E-06    0.763E-07
     8.875     0.200    0.910E-07    0.120E-06
