# f1_exp_028_070_bOM_rec.dat                                                    
#                                                                               
# Z = 28, A = 70                                                                
# No. of entries: 38                                                            
# Col 1: photon energy E in MeV                                                 
# Col 2: bin width dE in MeV                                                    
# Col 3: dipole strength f1 in MeV^-3                                           
# Col 4: uncertainty df1 in MeV^-3                                              
# Format: 2f10.3, 2e12.3                                                        
# Author: A.C. Larsen et al., Phys. Rev. C 97, 054329 (2018)                    
#    E         dE       f1           df1                                        
     1.475     0.200    0.177E-07    0.281E-08
     1.675     0.200    0.111E-07    0.152E-08
     1.875     0.200    0.641E-08    0.146E-08
     2.075     0.200    0.800E-08    0.116E-08
     2.275     0.200    0.649E-08    0.106E-08
     2.475     0.200    0.474E-08    0.817E-09
     2.675     0.200    0.443E-08    0.728E-09
     2.875     0.200    0.444E-08    0.775E-09
     3.075     0.200    0.385E-08    0.691E-09
     3.275     0.200    0.502E-08    0.112E-08
     3.475     0.200    0.386E-08    0.897E-09
     3.675     0.200    0.664E-08    0.123E-08
     3.875     0.200    0.742E-08    0.165E-08
     4.075     0.200    0.815E-08    0.193E-08
     4.275     0.200    0.888E-08    0.209E-08
     4.475     0.200    0.117E-07    0.211E-08
     4.675     0.200    0.108E-07    0.181E-08
     4.875     0.200    0.101E-07    0.185E-08
     5.075     0.200    0.102E-07    0.226E-08
     5.275     0.200    0.132E-07    0.340E-08
     5.475     0.200    0.160E-07    0.379E-08
     5.675     0.200    0.103E-07    0.245E-08
     5.875     0.200    0.935E-08    0.278E-08
     6.075     0.200    0.174E-07    0.519E-08
     6.275     0.200    0.136E-07    0.387E-08
     6.475     0.200    0.128E-07    0.394E-08
     6.675     0.200    0.268E-07    0.109E-07
     6.875     0.200    0.241E-07    0.873E-08
     7.075     0.200    0.389E-07    0.178E-07
     7.275     0.200    0.335E-07    0.128E-07
     7.475     0.200    0.623E-07    0.238E-07
     7.675     0.200    0.568E-07    0.256E-07
     7.875     0.200    0.690E-07    0.286E-07
     8.075     0.200    0.653E-07    0.579E-07
     8.275     0.200    0.955E-06    0.605E-06
     8.475     0.200    0.198E-06    0.150E-06
     8.675     0.200    0.202E-06    0.137E-06
     8.875     0.200    0.163E-06    0.214E-06
