# f1_exp_032_073_OM_lower.dat                                                   
#                                                                               
# Z = 32, A = 73                                                                
# No. of entries: 59                                                            
# Col 1: photon energy E in MeV                                                 
# Col 2: bin width dE in MeV                                                    
# Col 3: dipole strength f1 in MeV^-3                                           
# Col 4: uncertainty df1 in MeV^-3                                              
# Format: 2f10.3, 2e12.3                                                        
# Author: T. Renstrøm, Phys. Rev. C 93, 064302 (2016)                          
#    E         dE       f1           df1                                        
     0.962     0.105    0.130E-07    0.756E-08
     1.067     0.105    0.105E-07    0.692E-08
     1.172     0.105    0.827E-08    0.639E-08
     1.278     0.105    0.968E-08    0.620E-08
     1.383     0.105    0.964E-08    0.579E-08
     1.488     0.105    0.721E-08    0.601E-08
     1.593     0.105    0.710E-08    0.601E-08
     1.698     0.105    0.830E-08    0.610E-08
     1.802     0.105    0.756E-08    0.567E-08
     1.907     0.105    0.692E-08    0.552E-08
     2.013     0.105    0.639E-08    0.506E-08
     2.117     0.105    0.620E-08    0.504E-08
     2.223     0.105    0.579E-08    0.511E-08
     2.327     0.105    0.601E-08    0.546E-08
     2.433     0.105    0.601E-08    0.542E-08
     2.537     0.105    0.610E-08    0.555E-08
     2.643     0.105    0.567E-08    0.571E-08
     2.747     0.105    0.552E-08    0.574E-08
     2.853     0.105    0.506E-08    0.557E-08
     2.957     0.105    0.504E-08    0.555E-08
     3.062     0.105    0.511E-08    0.579E-08
     3.167     0.105    0.546E-08    0.585E-08
     3.272     0.105    0.542E-08    0.644E-08
     3.378     0.105    0.555E-08    0.679E-08
     3.482     0.105    0.571E-08    0.654E-08
     3.588     0.105    0.574E-08    0.670E-08
     3.692     0.105    0.557E-08    0.676E-08
     3.798     0.105    0.555E-08    0.697E-08
     3.902     0.105    0.579E-08    0.750E-08
     4.008     0.105    0.585E-08    0.756E-08
     4.112     0.105    0.644E-08    0.785E-08
     4.218     0.105    0.679E-08    0.786E-08
     4.322     0.105    0.654E-08    0.697E-08
     4.428     0.105    0.670E-08    0.799E-08
     4.532     0.105    0.676E-08    0.866E-08
     4.638     0.105    0.697E-08    0.836E-08
     4.742     0.105    0.750E-08    0.815E-08
     4.848     0.105    0.756E-08    0.798E-08
     4.952     0.105    0.785E-08    0.725E-08
     5.058     0.105    0.786E-08    0.978E-08
     5.162     0.105    0.697E-08    0.872E-08
     5.268     0.105    0.799E-08    0.110E-07
     5.372     0.105    0.866E-08    0.160E-07
     5.478     0.105    0.836E-08    0.132E-07
     5.582     0.105    0.815E-08    0.131E-07
     5.688     0.105    0.798E-08    0.146E-07
     5.792     0.105    0.725E-08    0.152E-07
     5.897     0.105    0.978E-08    0.737E-08
     6.003     0.105    0.872E-08    0.817E-08
     6.107     0.105    0.110E-07    0.937E-08
     6.213     0.105    0.160E-07    0.473E-08
     6.317     0.105    0.132E-07    0.000E+00
     6.423     0.105    0.131E-07    0.000E+00
     6.527     0.105    0.146E-07    0.000E+00
     6.633     0.105    0.152E-07    0.000E+00
     6.737     0.105    0.737E-08    0.000E+00
     6.843     0.105    0.817E-08    0.000E+00
     6.947     0.105    0.937E-08    0.000E+00
     7.053     0.105    0.473E-08    0.000E+00
