# f1_exp_032_074_OM_upper.dat                                                   
#                                                                               
# Z = 32, A = 74                                                                
# No. of entries: 82                                                            
# Col 1: photon energy E in MeV                                                 
# Col 2: bin width dE in MeV                                                    
# Col 3: dipole strength f1 in MeV^-3                                           
# Col 4: uncertainty df1 in MeV^-3                                              
# Format: 2f10.3, 2e12.3                                                        
# Author: T. Renstrøm, Phys. Rev. C 93, 064302 (2016)                          
#    E         dE       f1           df1                                        
     1.488     0.105    0.104E-07    0.816E-08
     1.593     0.105    0.105E-07    0.753E-08
     1.698     0.105    0.801E-08    0.782E-08
     1.802     0.105    0.579E-08    0.715E-08
     1.907     0.105    0.524E-08    0.594E-08
     2.013     0.105    0.638E-08    0.719E-08
     2.117     0.105    0.731E-08    0.766E-08
     2.223     0.105    0.793E-08    0.733E-08
     2.327     0.105    0.816E-08    0.708E-08
     2.433     0.105    0.753E-08    0.653E-08
     2.537     0.105    0.782E-08    0.640E-08
     2.643     0.105    0.715E-08    0.713E-08
     2.747     0.105    0.594E-08    0.739E-08
     2.853     0.105    0.719E-08    0.754E-08
     2.957     0.105    0.766E-08    0.761E-08
     3.062     0.105    0.733E-08    0.824E-08
     3.167     0.105    0.708E-08    0.852E-08
     3.272     0.105    0.653E-08    0.900E-08
     3.378     0.105    0.640E-08    0.999E-08
     3.482     0.105    0.713E-08    0.107E-07
     3.588     0.105    0.739E-08    0.111E-07
     3.692     0.105    0.754E-08    0.118E-07
     3.798     0.105    0.761E-08    0.123E-07
     3.902     0.105    0.824E-08    0.105E-07
     4.008     0.105    0.852E-08    0.108E-07
     4.112     0.105    0.900E-08    0.119E-07
     4.218     0.105    0.999E-08    0.126E-07
     4.322     0.105    0.107E-07    0.125E-07
     4.428     0.105    0.111E-07    0.142E-07
     4.532     0.105    0.118E-07    0.141E-07
     4.638     0.105    0.123E-07    0.156E-07
     4.742     0.105    0.105E-07    0.149E-07
     4.848     0.105    0.108E-07    0.147E-07
     4.952     0.105    0.119E-07    0.161E-07
     5.058     0.105    0.126E-07    0.168E-07
     5.162     0.105    0.125E-07    0.206E-07
     5.268     0.105    0.142E-07    0.226E-07
     5.372     0.105    0.141E-07    0.228E-07
     5.478     0.105    0.156E-07    0.257E-07
     5.582     0.105    0.149E-07    0.222E-07
     5.688     0.105    0.147E-07    0.222E-07
     5.792     0.105    0.161E-07    0.290E-07
     5.897     0.105    0.168E-07    0.347E-07
     6.003     0.105    0.206E-07    0.397E-07
     6.107     0.105    0.226E-07    0.390E-07
     6.213     0.105    0.228E-07    0.422E-07
     6.317     0.105    0.257E-07    0.423E-07
     6.423     0.105    0.222E-07    0.415E-07
     6.527     0.105    0.222E-07    0.343E-07
     6.633     0.105    0.290E-07    0.386E-07
     6.737     0.105    0.347E-07    0.429E-07
     6.843     0.105    0.397E-07    0.367E-07
     6.947     0.105    0.390E-07    0.303E-07
     7.053     0.105    0.422E-07    0.383E-07
     7.157     0.105    0.423E-07    0.415E-07
     7.262     0.105    0.415E-07    0.442E-07
     7.367     0.105    0.343E-07    0.436E-07
     7.473     0.105    0.386E-07    0.464E-07
     7.578     0.105    0.429E-07    0.474E-07
     7.682     0.105    0.367E-07    0.472E-07
     7.787     0.105    0.303E-07    0.668E-07
     7.893     0.105    0.383E-07    0.100E-06
     7.998     0.105    0.415E-07    0.120E-06
     8.102     0.105    0.442E-07    0.822E-07
     8.207     0.105    0.436E-07    0.492E-07
     8.312     0.105    0.464E-07    0.455E-07
     8.418     0.105    0.474E-07    0.665E-07
     8.522     0.105    0.472E-07    0.668E-07
     8.627     0.105    0.668E-07    0.150E-06
     8.732     0.105    0.100E-06    0.135E-06
     8.838     0.105    0.120E-06    0.233E-06
     8.942     0.105    0.822E-07    0.697E-07
     9.047     0.105    0.492E-07    0.358E-07
     9.152     0.105    0.455E-07    0.274E-07
     9.258     0.105    0.665E-07    0.000E+00
     9.363     0.105    0.668E-07    0.000E+00
     9.467     0.105    0.150E-06    0.000E+00
     9.572     0.105    0.135E-06    0.000E+00
     9.678     0.105    0.233E-06    0.000E+00
     9.783     0.105    0.697E-07    0.000E+00
     9.887     0.105    0.358E-07    0.000E+00
     9.992     0.105    0.274E-07    0.000E+00
