# f1_exp_036_087_iOM.dat                                                        
#                                                                               
# Z = 36, A = 87                                                                
# No. of entries: 15                                                            
# Col 1: photon energy E in MeV                                                 
# Col 2: bin width dE in MeV                                                    
# Col 3: dipole strength f1 in MeV^-3                                           
# Col 4: uncertainty df1 in MeV^-3                                              
# Format: 2f10.3, 2e12.3                                                        
# Author: V. W. Ingeberg et al., Phys. Lett. B (under review)                   
#    E         dE       f1           df1                                        
     1.660     0.256    0.208E-07    0.865E-08
     1.916     0.256    0.121E-07    0.506E-08
     2.172     0.256    0.428E-08    0.185E-08
     2.428     0.256    0.978E-08    0.408E-08
     2.684     0.256    0.785E-08    0.329E-08
     2.940     0.256    0.612E-08    0.258E-08
     3.196     0.256    0.595E-08    0.251E-08
     3.452     0.256    0.506E-08    0.218E-08
     3.708     0.256    0.657E-08    0.281E-08
     3.964     0.256    0.105E-07    0.445E-08
     4.220     0.256    0.128E-07    0.547E-08
     4.476     0.256    0.147E-07    0.630E-08
     4.732     0.256    0.948E-08    0.424E-08
     4.988     0.256    0.177E-07    0.785E-08
     5.244     0.256    0.111E-07    0.572E-08
