# f1_exp_039_089_OM_rec.dat                                                     
#                                                                               
# Z = 39, A = 89                                                                
# No. of entries: 82                                                            
# Col 1: photon energy E in MeV                                                 
# Col 2: bin width dE in MeV                                                    
# Col 3: dipole strength f1 in MeV^-3                                           
# Col 4: uncertainty df1 in MeV^-3                                              
# Format: 2f10.3, 2e12.3                                                        
# Author: A. C. Larsen et al., Phys. Rev. C 93, 045810 (2016)                   
#    E         dE       f1           df1                                        
    -0.941     0.123    0.000E+00    0.000E+00
    -0.818     0.123    0.000E+00    0.000E+00
    -0.696     0.123    0.000E+00    0.000E+00
    -0.573     0.123    0.000E+00    0.000E+00
    -0.450     0.123    0.000E+00    0.000E+00
    -0.327     0.123    0.000E+00    0.000E+00
    -0.204     0.123    0.000E+00    0.000E+00
    -0.082     0.123    0.000E+00    0.000E+00
     0.041     0.123    0.000E+00    0.000E+00
     0.164     0.123    0.000E+00    0.000E+00
     0.287     0.123    0.000E+00    0.000E+00
     0.410     0.123    0.000E+00    0.000E+00
     0.532     0.123    0.000E+00    0.000E+00
     0.655     0.123    0.000E+00    0.000E+00
     0.778     0.123    0.000E+00    0.000E+00
     0.901     0.123    0.000E+00    0.000E+00
     1.024     0.123    0.000E+00    0.000E+00
     1.147     0.123    0.000E+00    0.000E+00
     1.269     0.123    0.000E+00    0.000E+00
     1.392     0.123    0.000E+00    0.000E+00
     1.515     0.123    0.000E+00    0.000E+00
     1.638     0.123    0.000E+00    0.000E+00
     1.760     0.123    0.000E+00    0.000E+00
     1.883     0.123    0.000E+00    0.000E+00
     2.006     0.123    0.530E-08    0.123E-09
     2.129     0.123    0.529E-08    0.118E-09
     2.252     0.123    0.498E-08    0.111E-09
     2.374     0.123    0.450E-08    0.109E-09
     2.497     0.123    0.577E-08    0.114E-09
     2.620     0.123    0.511E-08    0.130E-09
     2.743     0.123    0.436E-08    0.121E-09
     2.866     0.123    0.430E-08    0.111E-09
     2.989     0.123    0.533E-08    0.148E-09
     3.111     0.123    0.492E-08    0.137E-09
     3.234     0.123    0.485E-08    0.131E-09
     3.357     0.123    0.481E-08    0.121E-09
     3.480     0.123    0.435E-08    0.125E-09
     3.603     0.123    0.419E-08    0.127E-09
     3.725     0.123    0.430E-08    0.148E-09
     3.848     0.123    0.416E-08    0.140E-09
     3.971     0.123    0.311E-08    0.114E-09
     4.094     0.123    0.333E-08    0.130E-09
     4.216     0.123    0.378E-08    0.145E-09
     4.339     0.123    0.521E-08    0.195E-09
     4.462     0.123    0.568E-08    0.196E-09
     4.585     0.123    0.534E-08    0.195E-09
     4.708     0.123    0.510E-08    0.199E-09
     4.830     0.123    0.510E-08    0.211E-09
     4.953     0.123    0.587E-08    0.261E-09
     5.076     0.123    0.577E-08    0.240E-09
     5.199     0.123    0.554E-08    0.259E-09
     5.322     0.123    0.530E-08    0.228E-09
     5.444     0.123    0.588E-08    0.300E-09
     5.567     0.123    0.717E-08    0.372E-09
     5.690     0.123    0.814E-08    0.414E-09
     5.813     0.123    0.779E-08    0.426E-09
     5.936     0.123    0.759E-08    0.406E-09
     6.059     0.123    0.747E-08    0.432E-09
     6.181     0.123    0.865E-08    0.519E-09
     6.304     0.123    0.103E-07    0.606E-09
     6.427     0.123    0.106E-07    0.605E-09
     6.550     0.123    0.108E-07    0.671E-09
     6.673     0.123    0.108E-07    0.724E-09
     6.795     0.123    0.116E-07    0.801E-09
     6.918     0.123    0.127E-07    0.854E-09
     7.041     0.123    0.126E-07    0.843E-09
     7.164     0.123    0.130E-07    0.915E-09
     7.287     0.123    0.126E-07    0.889E-09
     7.409     0.123    0.129E-07    0.975E-09
     7.532     0.123    0.118E-07    0.944E-09
     7.655     0.123    0.151E-07    0.124E-08
     7.778     0.123    0.181E-07    0.140E-08
     7.901     0.123    0.169E-07    0.136E-08
     8.023     0.123    0.194E-07    0.160E-08
     8.146     0.123    0.204E-07    0.170E-08
     8.269     0.123    0.244E-07    0.210E-08
     8.392     0.123    0.248E-07    0.223E-08
     8.514     0.123    0.270E-07    0.236E-08
     8.637     0.123    0.285E-07    0.255E-08
     8.760     0.123    0.280E-07    0.254E-08
     8.883     0.123    0.315E-07    0.289E-08
     9.006     0.123    0.348E-07    0.317E-08
