# f1_exp_039_089_OM_upper.dat                                                   
#                                                                               
# Z = 39, A = 89                                                                
# No. of entries: 82                                                            
# Col 1: photon energy E in MeV                                                 
# Col 2: bin width dE in MeV                                                    
# Col 3: dipole strength f1 in MeV^-3                                           
# Col 4: uncertainty df1 in MeV^-3                                              
# Format: 2f10.3, 2e12.3                                                        
# Author: A. C. Larsen et al., Phys. Rev. C 93, 045810 (2016)                   
#    E         dE       f1           df1                                        
    -0.941     0.123    0.000E+00    0.000E+00
    -0.818     0.123    0.000E+00    0.000E+00
    -0.696     0.123    0.000E+00    0.000E+00
    -0.573     0.123    0.000E+00    0.000E+00
    -0.450     0.123    0.000E+00    0.000E+00
    -0.327     0.123    0.000E+00    0.000E+00
    -0.204     0.123    0.000E+00    0.000E+00
    -0.082     0.123    0.000E+00    0.000E+00
     0.041     0.123    0.000E+00    0.000E+00
     0.164     0.123    0.000E+00    0.000E+00
     0.287     0.123    0.000E+00    0.000E+00
     0.410     0.123    0.000E+00    0.000E+00
     0.532     0.123    0.000E+00    0.000E+00
     0.655     0.123    0.000E+00    0.000E+00
     0.778     0.123    0.000E+00    0.000E+00
     0.901     0.123    0.000E+00    0.000E+00
     1.024     0.123    0.000E+00    0.000E+00
     1.147     0.123    0.000E+00    0.000E+00
     1.269     0.123    0.000E+00    0.000E+00
     1.392     0.123    0.000E+00    0.000E+00
     1.515     0.123    0.000E+00    0.000E+00
     1.638     0.123    0.000E+00    0.000E+00
     1.760     0.123    0.000E+00    0.000E+00
     1.883     0.123    0.000E+00    0.000E+00
     2.006     0.123    0.880E-08    0.200E-09
     2.129     0.123    0.877E-08    0.191E-09
     2.252     0.123    0.827E-08    0.180E-09
     2.374     0.123    0.749E-08    0.177E-09
     2.497     0.123    0.957E-08    0.185E-09
     2.620     0.123    0.853E-08    0.211E-09
     2.743     0.123    0.729E-08    0.197E-09
     2.866     0.123    0.719E-08    0.181E-09
     2.989     0.123    0.894E-08    0.241E-09
     3.111     0.123    0.826E-08    0.224E-09
     3.234     0.123    0.814E-08    0.214E-09
     3.357     0.123    0.805E-08    0.199E-09
     3.480     0.123    0.732E-08    0.205E-09
     3.603     0.123    0.706E-08    0.207E-09
     3.725     0.123    0.728E-08    0.242E-09
     3.848     0.123    0.705E-08    0.229E-09
     3.971     0.123    0.529E-08    0.186E-09
     4.094     0.123    0.567E-08    0.213E-09
     4.216     0.123    0.645E-08    0.238E-09
     4.339     0.123    0.888E-08    0.320E-09
     4.462     0.123    0.966E-08    0.322E-09
     4.585     0.123    0.911E-08    0.322E-09
     4.708     0.123    0.873E-08    0.328E-09
     4.830     0.123    0.875E-08    0.347E-09
     4.953     0.123    0.101E-07    0.431E-09
     5.076     0.123    0.992E-08    0.396E-09
     5.199     0.123    0.957E-08    0.427E-09
     5.322     0.123    0.914E-08    0.376E-09
     5.444     0.123    0.102E-07    0.496E-09
     5.567     0.123    0.125E-07    0.616E-09
     5.690     0.123    0.142E-07    0.686E-09
     5.813     0.123    0.136E-07    0.706E-09
     5.936     0.123    0.133E-07    0.673E-09
     6.059     0.123    0.131E-07    0.716E-09
     6.181     0.123    0.152E-07    0.861E-09
     6.304     0.123    0.182E-07    0.101E-08
     6.427     0.123    0.187E-07    0.101E-08
     6.550     0.123    0.192E-07    0.112E-08
     6.673     0.123    0.193E-07    0.121E-08
     6.795     0.123    0.207E-07    0.134E-08
     6.918     0.123    0.226E-07    0.142E-08
     7.041     0.123    0.225E-07    0.141E-08
     7.164     0.123    0.232E-07    0.153E-08
     7.287     0.123    0.226E-07    0.149E-08
     7.409     0.123    0.233E-07    0.163E-08
     7.532     0.123    0.214E-07    0.158E-08
     7.655     0.123    0.274E-07    0.207E-08
     7.778     0.123    0.327E-07    0.234E-08
     7.901     0.123    0.306E-07    0.228E-08
     8.023     0.123    0.353E-07    0.268E-08
     8.146     0.123    0.371E-07    0.285E-08
     8.269     0.123    0.446E-07    0.354E-08
     8.392     0.123    0.455E-07    0.375E-08
     8.514     0.123    0.494E-07    0.397E-08
     8.637     0.123    0.523E-07    0.430E-08
     8.760     0.123    0.515E-07    0.428E-08
     8.883     0.123    0.580E-07    0.487E-08
     9.006     0.123    0.642E-07    0.535E-08
