# f1_exp_040_091_OM_rec.dat                                                     
#                                                                               
# Z = 40, A = 91                                                                
# No. of entries: 51                                                            
# Col 1: photon energy E in MeV                                                 
# Col 2: bin width dE in MeV                                                    
# Col 3: dipole strength f1 in MeV^-3                                           
# Col 4: uncertainty df1 in MeV^-3                                              
# Format: 2f10.3, 2e12.3                                                        
# Author: M. Guttormsen et al., Phys. Rev. C 96, 024313 (2017)                  
#    E         dE       f1           df1                                        
    -0.804     0.160    0.000E+00    0.000E+00
    -0.644     0.160    0.000E+00    0.000E+00
    -0.484     0.160    0.000E+00    0.000E+00
    -0.324     0.160    0.000E+00    0.000E+00
    -0.164     0.160    0.000E+00    0.000E+00
    -0.004     0.160    0.000E+00    0.000E+00
     0.156     0.160    0.000E+00    0.000E+00
     0.316     0.160    0.000E+00    0.000E+00
     0.476     0.160    0.000E+00    0.000E+00
     0.636     0.160    0.000E+00    0.000E+00
     0.796     0.160    0.000E+00    0.000E+00
     0.956     0.160    0.000E+00    0.000E+00
     1.116     0.160    0.000E+00    0.000E+00
     1.276     0.160    0.000E+00    0.000E+00
     1.436     0.160    0.000E+00    0.000E+00
     1.596     0.160    0.000E+00    0.000E+00
     1.756     0.160    0.000E+00    0.000E+00
     1.916     0.160    0.000E+00    0.000E+00
     2.076     0.160    0.000E+00    0.000E+00
     2.236     0.160    0.000E+00    0.000E+00
     2.396     0.160    0.716E-08    0.548E-09
     2.556     0.160    0.610E-08    0.485E-09
     2.716     0.160    0.565E-08    0.489E-09
     2.876     0.160    0.645E-08    0.565E-09
     3.036     0.160    0.557E-08    0.510E-09
     3.196     0.160    0.574E-08    0.588E-09
     3.356     0.160    0.535E-08    0.531E-09
     3.516     0.160    0.575E-08    0.674E-09
     3.676     0.160    0.509E-08    0.546E-09
     3.836     0.160    0.620E-08    0.702E-09
     3.996     0.160    0.777E-08    0.103E-08
     4.156     0.160    0.819E-08    0.112E-08
     4.316     0.160    0.675E-08    0.952E-09
     4.476     0.160    0.544E-08    0.836E-09
     4.636     0.160    0.757E-08    0.117E-08
     4.796     0.160    0.917E-08    0.160E-08
     4.956     0.160    0.122E-07    0.209E-08
     5.116     0.160    0.105E-07    0.172E-08
     5.276     0.160    0.955E-08    0.158E-08
     5.436     0.160    0.163E-07    0.256E-08
     5.596     0.160    0.191E-07    0.348E-08
     5.756     0.160    0.218E-07    0.408E-08
     5.916     0.160    0.236E-07    0.417E-08
     6.076     0.160    0.300E-07    0.632E-08
     6.236     0.160    0.198E-07    0.404E-08
     6.396     0.160    0.248E-07    0.519E-08
     6.556     0.160    0.266E-07    0.557E-08
     6.716     0.160    0.274E-07    0.626E-08
     6.876     0.160    0.320E-07    0.761E-08
     7.036     0.160    0.421E-07    0.955E-08
     7.196     0.160    0.346E-07    0.112E-07
