# f1_exp_040_092_OM_lower.dat                                                   
#                                                                               
# Z = 40, A = 92                                                                
# No. of entries: 80                                                            
# Col 1: photon energy E in MeV                                                 
# Col 2: bin width dE in MeV                                                    
# Col 3: dipole strength f1 in MeV^-3                                           
# Col 4: uncertainty df1 in MeV^-3                                              
# Format: 2f10.3, 2e12.3                                                        
# Author: M. Guttormsen et al., Phys. Rev. C 96, 024313 (2017)                  
#    E         dE       f1           df1                                        
    -0.864     0.120    0.000E+00    0.000E+00
    -0.744     0.120    0.000E+00    0.000E+00
    -0.624     0.120    0.000E+00    0.000E+00
    -0.504     0.120    0.000E+00    0.000E+00
    -0.384     0.120    0.000E+00    0.000E+00
    -0.264     0.120    0.000E+00    0.000E+00
    -0.144     0.120    0.000E+00    0.000E+00
    -0.024     0.120    0.000E+00    0.000E+00
     0.096     0.120    0.000E+00    0.000E+00
     0.216     0.120    0.000E+00    0.000E+00
     0.336     0.120    0.000E+00    0.000E+00
     0.456     0.120    0.000E+00    0.000E+00
     0.576     0.120    0.000E+00    0.000E+00
     0.696     0.120    0.000E+00    0.000E+00
     0.816     0.120    0.000E+00    0.000E+00
     0.936     0.120    0.000E+00    0.000E+00
     1.056     0.120    0.000E+00    0.000E+00
     1.176     0.120    0.000E+00    0.000E+00
     1.296     0.120    0.000E+00    0.000E+00
     1.416     0.120    0.000E+00    0.000E+00
     1.536     0.120    0.510E-08    0.116E-09
     1.656     0.120    0.364E-08    0.964E-10
     1.776     0.120    0.298E-08    0.848E-10
     1.896     0.120    0.391E-08    0.912E-10
     2.016     0.120    0.343E-08    0.810E-10
     2.136     0.120    0.286E-08    0.753E-10
     2.256     0.120    0.270E-08    0.717E-10
     2.376     0.120    0.291E-08    0.750E-10
     2.496     0.120    0.291E-08    0.802E-10
     2.616     0.120    0.332E-08    0.921E-10
     2.736     0.120    0.385E-08    0.100E-09
     2.856     0.120    0.393E-08    0.106E-09
     2.976     0.120    0.374E-08    0.111E-09
     3.096     0.120    0.347E-08    0.904E-10
     3.216     0.120    0.303E-08    0.815E-10
     3.336     0.120    0.337E-08    0.104E-09
     3.456     0.120    0.361E-08    0.118E-09
     3.576     0.120    0.328E-08    0.113E-09
     3.696     0.120    0.330E-08    0.122E-09
     3.816     0.120    0.379E-08    0.131E-09
     3.936     0.120    0.416E-08    0.157E-09
     4.056     0.120    0.442E-08    0.181E-09
     4.176     0.120    0.448E-08    0.185E-09
     4.296     0.120    0.470E-08    0.213E-09
     4.416     0.120    0.488E-08    0.219E-09
     4.536     0.120    0.429E-08    0.198E-09
     4.656     0.120    0.455E-08    0.219E-09
     4.776     0.120    0.441E-08    0.220E-09
     4.896     0.120    0.463E-08    0.233E-09
     5.016     0.120    0.533E-08    0.260E-09
     5.136     0.120    0.468E-08    0.233E-09
     5.256     0.120    0.508E-08    0.268E-09
     5.376     0.120    0.605E-08    0.352E-09
     5.496     0.120    0.602E-08    0.330E-09
     5.616     0.120    0.571E-08    0.314E-09
     5.736     0.120    0.720E-08    0.457E-09
     5.856     0.120    0.943E-08    0.564E-09
     5.976     0.120    0.881E-08    0.564E-09
     6.096     0.120    0.830E-08    0.517E-09
     6.216     0.120    0.946E-08    0.622E-09
     6.336     0.120    0.105E-07    0.706E-09
     6.456     0.120    0.114E-07    0.809E-09
     6.576     0.120    0.136E-07    0.101E-08
     6.696     0.120    0.150E-07    0.105E-08
     6.816     0.120    0.156E-07    0.112E-08
     6.936     0.120    0.155E-07    0.109E-08
     7.056     0.120    0.151E-07    0.118E-08
     7.176     0.120    0.168E-07    0.129E-08
     7.296     0.120    0.192E-07    0.164E-08
     7.416     0.120    0.225E-07    0.179E-08
     7.536     0.120    0.190E-07    0.167E-08
     7.656     0.120    0.186E-07    0.158E-08
     7.776     0.120    0.242E-07    0.240E-08
     7.896     0.120    0.298E-07    0.307E-08
     8.016     0.120    0.283E-07    0.279E-08
     8.136     0.120    0.323E-07    0.336E-08
     8.256     0.120    0.318E-07    0.324E-08
     8.376     0.120    0.367E-07    0.428E-08
     8.496     0.120    0.405E-07    0.415E-08
     8.616     0.120    0.450E-07    0.580E-08
