# f1_exp_040_092_OM_upper.dat                                                   
#                                                                               
# Z = 40, A = 92                                                                
# No. of entries: 80                                                            
# Col 1: photon energy E in MeV                                                 
# Col 2: bin width dE in MeV                                                    
# Col 3: dipole strength f1 in MeV^-3                                           
# Col 4: uncertainty df1 in MeV^-3                                              
# Format: 2f10.3, 2e12.3                                                        
# Author: M. Guttormsen et al., Phys. Rev. C 96, 024313 (2017)                  
#    E         dE       f1           df1                                        
    -0.864     0.120    0.000E+00    0.000E+00
    -0.744     0.120    0.000E+00    0.000E+00
    -0.624     0.120    0.000E+00    0.000E+00
    -0.504     0.120    0.000E+00    0.000E+00
    -0.384     0.120    0.000E+00    0.000E+00
    -0.264     0.120    0.000E+00    0.000E+00
    -0.144     0.120    0.000E+00    0.000E+00
    -0.024     0.120    0.000E+00    0.000E+00
     0.096     0.120    0.000E+00    0.000E+00
     0.216     0.120    0.000E+00    0.000E+00
     0.336     0.120    0.000E+00    0.000E+00
     0.456     0.120    0.000E+00    0.000E+00
     0.576     0.120    0.000E+00    0.000E+00
     0.696     0.120    0.000E+00    0.000E+00
     0.816     0.120    0.000E+00    0.000E+00
     0.936     0.120    0.000E+00    0.000E+00
     1.056     0.120    0.000E+00    0.000E+00
     1.176     0.120    0.000E+00    0.000E+00
     1.296     0.120    0.000E+00    0.000E+00
     1.416     0.120    0.000E+00    0.000E+00
     1.536     0.120    0.137E-07    0.311E-09
     1.656     0.120    0.978E-08    0.259E-09
     1.776     0.120    0.801E-08    0.228E-09
     1.896     0.120    0.105E-07    0.246E-09
     2.016     0.120    0.925E-08    0.219E-09
     2.136     0.120    0.772E-08    0.204E-09
     2.256     0.120    0.730E-08    0.194E-09
     2.376     0.120    0.789E-08    0.203E-09
     2.496     0.120    0.792E-08    0.218E-09
     2.616     0.120    0.903E-08    0.251E-09
     2.736     0.120    0.105E-07    0.274E-09
     2.856     0.120    0.107E-07    0.290E-09
     2.976     0.120    0.102E-07    0.305E-09
     3.096     0.120    0.951E-08    0.248E-09
     3.216     0.120    0.833E-08    0.224E-09
     3.336     0.120    0.928E-08    0.287E-09
     3.456     0.120    0.997E-08    0.325E-09
     3.576     0.120    0.906E-08    0.311E-09
     3.696     0.120    0.913E-08    0.339E-09
     3.816     0.120    0.105E-07    0.364E-09
     3.936     0.120    0.116E-07    0.437E-09
     4.056     0.120    0.123E-07    0.503E-09
     4.176     0.120    0.125E-07    0.517E-09
     4.296     0.120    0.131E-07    0.595E-09
     4.416     0.120    0.137E-07    0.614E-09
     4.536     0.120    0.120E-07    0.556E-09
     4.656     0.120    0.128E-07    0.614E-09
     4.776     0.120    0.124E-07    0.618E-09
     4.896     0.120    0.131E-07    0.658E-09
     5.016     0.120    0.150E-07    0.736E-09
     5.136     0.120    0.132E-07    0.660E-09
     5.256     0.120    0.144E-07    0.761E-09
     5.376     0.120    0.172E-07    0.999E-09
     5.496     0.120    0.171E-07    0.940E-09
     5.616     0.120    0.163E-07    0.894E-09
     5.736     0.120    0.206E-07    0.131E-08
     5.856     0.120    0.270E-07    0.161E-08
     5.976     0.120    0.252E-07    0.162E-08
     6.096     0.120    0.238E-07    0.148E-08
     6.216     0.120    0.272E-07    0.179E-08
     6.336     0.120    0.302E-07    0.203E-08
     6.456     0.120    0.330E-07    0.234E-08
     6.576     0.120    0.393E-07    0.291E-08
     6.696     0.120    0.434E-07    0.305E-08
     6.816     0.120    0.453E-07    0.324E-08
     6.936     0.120    0.450E-07    0.318E-08
     7.056     0.120    0.440E-07    0.344E-08
     7.176     0.120    0.490E-07    0.376E-08
     7.296     0.120    0.560E-07    0.480E-08
     7.416     0.120    0.658E-07    0.524E-08
     7.536     0.120    0.559E-07    0.490E-08
     7.656     0.120    0.547E-07    0.465E-08
     7.776     0.120    0.712E-07    0.707E-08
     7.896     0.120    0.878E-07    0.906E-08
     8.016     0.120    0.836E-07    0.825E-08
     8.136     0.120    0.956E-07    0.996E-08
     8.256     0.120    0.942E-07    0.960E-08
     8.376     0.120    0.109E-06    0.127E-07
     8.496     0.120    0.120E-06    0.124E-07
     8.616     0.120    0.134E-06    0.173E-07
