# f1_exp_042_092_OM_upper.dat                                                   
#                                                                               
# Z = 42, A = 92                                                                
# No. of entries: 102                                                           
# Col 1: photon energy E in MeV                                                 
# Col 2: bin width dE in MeV                                                    
# Col 3: dipole strength f1 in MeV^-3                                           
# Col 4: uncertainty df1 in MeV^-3                                              
# Format: 2f10.3, 2e12.3                                                        
# Author: G. M. Tveten et al., Phys. Rev. C 94, 025804 (2016)                   
#    E         dE       f1           df1                                        
    -0.756     0.108    0.000E+00    0.000E+00
    -0.648     0.108    0.000E+00    0.000E+00
    -0.540     0.108    0.000E+00    0.000E+00
    -0.432     0.108    0.000E+00    0.000E+00
    -0.324     0.108    0.000E+00    0.000E+00
    -0.216     0.108    0.000E+00    0.000E+00
    -0.108     0.108    0.000E+00    0.000E+00
     0.000     0.108    0.000E+00    0.000E+00
     0.108     0.108    0.000E+00    0.000E+00
     0.216     0.108    0.000E+00    0.000E+00
     0.324     0.108    0.000E+00    0.000E+00
     0.432     0.108    0.000E+00    0.000E+00
     0.540     0.108    0.000E+00    0.000E+00
     0.648     0.108    0.000E+00    0.000E+00
     0.756     0.108    0.000E+00    0.000E+00
     0.864     0.108    0.000E+00    0.000E+00
     0.972     0.108    0.000E+00    0.000E+00
     1.080     0.108    0.000E+00    0.000E+00
     1.188     0.108    0.000E+00    0.000E+00
     1.296     0.108    0.000E+00    0.000E+00
     1.404     0.108    0.000E+00    0.000E+00
     1.512     0.108    0.000E+00    0.000E+00
     1.620     0.108    0.000E+00    0.000E+00
     1.728     0.108    0.000E+00    0.000E+00
     1.836     0.108    0.000E+00    0.000E+00
     1.944     0.108    0.516E-08    0.240E-09
     2.052     0.108    0.676E-08    0.263E-09
     2.160     0.108    0.603E-08    0.232E-09
     2.268     0.108    0.540E-08    0.206E-09
     2.376     0.108    0.492E-08    0.199E-09
     2.484     0.108    0.573E-08    0.224E-09
     2.592     0.108    0.611E-08    0.245E-09
     2.700     0.108    0.571E-08    0.252E-09
     2.808     0.108    0.492E-08    0.204E-09
     2.916     0.108    0.401E-08    0.179E-09
     3.024     0.108    0.472E-08    0.217E-09
     3.132     0.108    0.619E-08    0.276E-09
     3.240     0.108    0.668E-08    0.315E-09
     3.348     0.108    0.684E-08    0.323E-09
     3.456     0.108    0.673E-08    0.307E-09
     3.564     0.108    0.697E-08    0.325E-09
     3.672     0.108    0.731E-08    0.322E-09
     3.780     0.108    0.692E-08    0.350E-09
     3.888     0.108    0.558E-08    0.295E-09
     3.996     0.108    0.657E-08    0.316E-09
     4.104     0.108    0.757E-08    0.352E-09
     4.212     0.108    0.808E-08    0.408E-09
     4.320     0.108    0.824E-08    0.410E-09
     4.428     0.108    0.784E-08    0.418E-09
     4.536     0.108    0.843E-08    0.402E-09
     4.644     0.108    0.942E-08    0.423E-09
     4.752     0.108    0.100E-07    0.463E-09
     4.860     0.108    0.101E-07    0.517E-09
     4.968     0.108    0.111E-07    0.576E-09
     5.076     0.108    0.116E-07    0.621E-09
     5.184     0.108    0.124E-07    0.676E-09
     5.292     0.108    0.130E-07    0.703E-09
     5.400     0.108    0.144E-07    0.740E-09
     5.508     0.108    0.150E-07    0.793E-09
     5.616     0.108    0.156E-07    0.839E-09
     5.724     0.108    0.177E-07    0.991E-09
     5.832     0.108    0.200E-07    0.111E-08
     5.940     0.108    0.219E-07    0.125E-08
     6.048     0.108    0.235E-07    0.135E-08
     6.156     0.108    0.239E-07    0.138E-08
     6.264     0.108    0.267E-07    0.155E-08
     6.372     0.108    0.281E-07    0.162E-08
     6.480     0.108    0.286E-07    0.172E-08
     6.588     0.108    0.284E-07    0.181E-08
     6.696     0.108    0.284E-07    0.173E-08
     6.804     0.108    0.270E-07    0.180E-08
     6.912     0.108    0.293E-07    0.195E-08
     7.020     0.108    0.307E-07    0.217E-08
     7.128     0.108    0.265E-07    0.195E-08
     7.236     0.108    0.281E-07    0.211E-08
     7.344     0.108    0.345E-07    0.260E-08
     7.452     0.108    0.404E-07    0.292E-08
     7.560     0.108    0.368E-07    0.266E-08
     7.668     0.108    0.378E-07    0.287E-08
     7.776     0.108    0.437E-07    0.349E-08
     7.884     0.108    0.497E-07    0.379E-08
     7.992     0.108    0.537E-07    0.446E-08
     8.100     0.108    0.604E-07    0.492E-08
     8.208     0.108    0.612E-07    0.492E-08
     8.316     0.108    0.686E-07    0.581E-08
     8.424     0.108    0.636E-07    0.512E-08
     8.532     0.108    0.616E-07    0.507E-08
     8.640     0.108    0.840E-07    0.701E-08
     8.748     0.108    0.833E-07    0.702E-08
     8.856     0.108    0.855E-07    0.730E-08
     8.964     0.108    0.860E-07    0.723E-08
     9.072     0.108    0.103E-06    0.922E-08
     9.180     0.108    0.112E-06    0.101E-07
     9.288     0.108    0.116E-06    0.101E-07
     9.396     0.108    0.124E-06    0.111E-07
     9.504     0.108    0.140E-06    0.130E-07
     9.612     0.108    0.140E-06    0.126E-07
     9.720     0.108    0.145E-06    0.135E-07
     9.828     0.108    0.129E-06    0.122E-07
     9.936     0.108    0.144E-06    0.142E-07
    10.044     0.108    0.162E-06    0.166E-07
    10.152     0.108    0.116E-06    0.136E-07
