# f1_exp_042_095_OM_a_2.dat
#
# Z = 42, A = 95
# No. of entries: 29
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e12.3
# Author: H. Utsunomiya et al., Phys. Rev. C 88, 015805 (2013)
#    E         dE       f1           df1
     0.098     0.269    0.000e+00    0.000e+00
     0.367     0.269    0.000e+00    0.000e+00
     0.636     0.269    0.000e+00    0.000e+00
     0.906     0.269    0.000e+00    0.000e+00
     1.175     0.269    1.760e-08    6.202e-10
     1.444     0.269    7.683e-09    4.762e-10
     1.713     0.269    1.030e-08    4.321e-10
     1.982     0.269    1.012e-08    3.454e-10
     2.252     0.269    9.214e-09    3.849e-10
     2.521     0.269    7.769e-09    3.425e-10
     2.790     0.269    7.193e-09    3.719e-10
     3.059     0.269    7.787e-09    4.260e-10
     3.328     0.269    9.097e-09    3.969e-10
     3.598     0.269    1.016e-08    5.384e-10
     3.867     0.269    1.258e-08    6.329e-10
     4.136     0.269    1.531e-08    8.367e-10
     4.405     0.269    1.696e-08    9.778e-10
     4.674     0.269    1.713e-08    1.359e-09
     4.944     0.269    2.191e-08    1.624e-09
     5.213     0.269    2.570e-08    2.627e-09
     5.482     0.269    3.868e-08    3.335e-09
     5.751     0.269    4.611e-08    4.577e-09
     6.020     0.269    4.552e-08    5.314e-09
     6.290     0.269    6.043e-08    7.493e-09
     6.559     0.269    6.651e-08    1.255e-08
     6.828     0.269    5.043e-08    1.737e-08
     7.097     0.269    4.459e-08    1.966e-08
     7.366     0.269    1.505e-08    2.335e-08
     7.636     0.269    0.000e+00    0.000e+00
