# f1_exp_042_095_RM.dat                                                         
#                                                                               
# Z = 42, A = 95                                                                
# No. of entries: 64                                                            
# Col 1: photon energy E in MeV                                                 
# Col 2: bin width dE in MeV                                                    
# Col 3: dipole strength f1 in MeV^-3                                           
# Col 4: uncertainty df1 in MeV^-3                                              
# Format: 2f10.3, 2e12.3                                                        
# Author: M. Wiedeking (iThemba LABS)                                           
#    	E         dE       f1           df1                                       
     0.950     0.500    0.401E-07    0.174E-07
     1.330     0.500    0.726E-08    0.251E-08
     1.380     0.500    0.914E-08    0.324E-08
     1.440     0.500    0.172E-07    0.343E-08
     1.570     0.500    0.713E-08    0.171E-08
     1.630     0.500    0.647E-08    0.120E-08
     1.920     0.500    0.525E-08    0.117E-08
     1.950     0.500    0.656E-08    0.245E-08
     1.960     0.500    0.515E-08    0.838E-09
     2.050     0.500    0.466E-08    0.788E-09
     2.180     0.500    0.639E-08    0.733E-09
     2.210     0.500    0.603E-08    0.679E-09
     2.230     0.500    0.578E-08    0.766E-09
     2.330     0.500    0.373E-08    0.105E-08
     2.380     0.500    0.629E-08    0.149E-08
     2.440     0.500    0.621E-08    0.119E-08
     2.570     0.500    0.521E-08    0.122E-08
     2.630     0.500    0.444E-08    0.925E-09
     2.790     0.500    0.380E-08    0.348E-09
     2.920     0.500    0.407E-08    0.897E-09
     2.950     0.500    0.760E-08    0.257E-08
     2.960     0.500    0.459E-08    0.767E-09
     3.050     0.500    0.377E-08    0.683E-09
     3.180     0.500    0.456E-08    0.706E-09
     3.210     0.500    0.440E-08    0.593E-09
     3.230     0.500    0.473E-08    0.742E-09
     3.330     0.500    0.400E-08    0.104E-08
     3.380     0.500    0.624E-08    0.151E-08
     3.440     0.500    0.400E-08    0.104E-08
     3.570     0.500    0.481E-08    0.124E-08
     3.630     0.500    0.444E-08    0.953E-09
     3.790     0.500    0.455E-08    0.439E-09
     3.920     0.500    0.428E-08    0.111E-08
     3.950     0.500    0.513E-08    0.245E-08
     3.960     0.500    0.810E-08    0.133E-08
     4.050     0.500    0.592E-08    0.108E-08
     4.180     0.500    0.750E-08    0.106E-08
     4.210     0.500    0.461E-08    0.745E-09
     4.230     0.500    0.669E-08    0.112E-08
     4.330     0.500    0.745E-08    0.193E-08
     4.380     0.500    0.709E-08    0.209E-08
     4.440     0.500    0.915E-08    0.202E-08
     4.570     0.500    0.832E-08    0.219E-08
     4.630     0.500    0.736E-08    0.174E-08
     4.790     0.500    0.884E-08    0.777E-09
     4.920     0.500    0.179E-07    0.361E-08
     4.960     0.500    0.147E-07    0.256E-08
     5.050     0.500    0.110E-07    0.215E-08
     5.180     0.500    0.144E-07    0.208E-08
     5.210     0.500    0.136E-07    0.202E-08
     5.230     0.500    0.117E-07    0.235E-08
     5.330     0.500    0.107E-07    0.320E-08
     5.380     0.500    0.207E-07    0.508E-08
     5.440     0.500    0.186E-07    0.468E-08
     5.570     0.500    0.238E-07    0.539E-08
     5.630     0.500    0.175E-07    0.387E-08
     5.790     0.500    0.256E-07    0.214E-08
     5.920     0.500    0.233E-07    0.668E-08
     5.960     0.500    0.238E-07    0.464E-08
     6.050     0.500    0.313E-07    0.601E-08
     6.180     0.500    0.331E-07    0.493E-08
     6.210     0.500    0.403E-07    0.504E-08
     6.230     0.500    0.400E-07    0.740E-08
     6.790     0.500    0.600E-07    0.535E-08
