# f1_exp_042_096_OM_a.dat                                                       
#                                                                               
# Z = 42, A = 96                                                                
# No. of entries: 31                                                            
# Col 1: photon energy E in MeV                                                 
# Col 2: bin width dE in MeV                                                    
# Col 3: dipole strength f1 in MeV^-3                                           
# Col 4: uncertainty df1 in MeV^-3                                              
# Format: 2f10.3, 2e12.3                                                        
# Author: M. Guttormsen et al., Phys. Rev. C 71, 044307 (2005)                  
#    E         dE       f1           df1                                        
     1.091     0.240    0.112E-07    0.185E-08
     1.331     0.240    0.565E-08    0.108E-08
     1.571     0.240    0.418E-08    0.957E-09
     1.811     0.240    0.779E-08    0.661E-09
     2.051     0.240    0.723E-08    0.675E-09
     2.291     0.240    0.591E-08    0.683E-09
     2.531     0.240    0.575E-08    0.531E-09
     2.771     0.240    0.525E-08    0.507E-09
     3.011     0.240    0.466E-08    0.544E-09
     3.251     0.240    0.505E-08    0.605E-09
     3.491     0.240    0.549E-08    0.624E-09
     3.731     0.240    0.425E-08    0.592E-09
     3.971     0.240    0.421E-08    0.614E-09
     4.211     0.240    0.600E-08    0.868E-09
     4.451     0.240    0.805E-08    0.110E-08
     4.691     0.240    0.836E-08    0.113E-08
     4.931     0.240    0.915E-08    0.146E-08
     5.171     0.240    0.953E-08    0.152E-08
     5.411     0.240    0.965E-08    0.187E-08
     5.651     0.240    0.123E-07    0.267E-08
     5.891     0.240    0.153E-07    0.288E-08
     6.131     0.240    0.157E-07    0.333E-08
     6.371     0.240    0.125E-07    0.273E-08
     6.611     0.240    0.123E-07    0.382E-08
     6.851     0.240    0.171E-07    0.419E-08
     7.091     0.240    0.270E-07    0.658E-08
     7.331     0.240    0.301E-07    0.745E-08
     7.571     0.240    0.240E-07    0.840E-08
     7.811     0.240    0.290E-07    0.103E-07
     8.051     0.240    0.392E-07    0.138E-07
     8.291     0.240    0.442E-07    0.233E-07
