# f1_exp_042_097_OM_3he.dat                                                     
#                                                                               
# Z = 42, A = 97                                                                
# No. of entries: 25                                                            
# Col 1: photon energy E in MeV                                                 
# Col 2: bin width dE in MeV                                                    
# Col 3: dipole strength f1 in MeV^-3                                           
# Col 4: uncertainty df1 in MeV^-3                                              
# Format: 2f10.3, 2e12.3                                                        
# Author: M. Guttormsen et al., Phys. Rev. C 71, 044307 (2005)                  
#    E         dE       f1           df1                                        
     0.981     0.240    0.185E-07    0.979E-09
     1.221     0.240    0.136E-07    0.719E-09
     1.461     0.240    0.870E-08    0.474E-09
     1.701     0.240    0.812E-08    0.451E-09
     1.941     0.240    0.644E-08    0.356E-09
     2.181     0.240    0.525E-08    0.325E-09
     2.421     0.240    0.559E-08    0.303E-09
     2.661     0.240    0.543E-08    0.331E-09
     2.901     0.240    0.557E-08    0.388E-09
     3.141     0.240    0.470E-08    0.334E-09
     3.381     0.240    0.474E-08    0.400E-09
     3.621     0.240    0.440E-08    0.411E-09
     3.861     0.240    0.550E-08    0.520E-09
     4.101     0.240    0.639E-08    0.630E-09
     4.341     0.240    0.552E-08    0.585E-09
     4.581     0.240    0.572E-08    0.703E-09
     4.821     0.240    0.607E-08    0.851E-09
     5.061     0.240    0.102E-07    0.124E-08
     5.301     0.240    0.872E-08    0.145E-08
     5.541     0.240    0.112E-07    0.182E-08
     5.781     0.240    0.591E-08    0.211E-08
     6.021     0.240    0.766E-08    0.279E-08
     6.261     0.240    0.140E-07    0.451E-08
     6.501     0.240    0.126E-07    0.886E-08
     6.741     0.240    0.941E-08    0.966E-08
