# f1_exp_042_097_OM_3he_2.dat
#
# Z = 42, A = 97
# No. of entries: 30
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e12.3
# Author: H. Utsunomiya et al., Phys. Rev. C 88, 015805 (2013)
#    E         dE       f1           df1
     0.021     0.240    0.000e+00    0.000e+00
     0.261     0.240    0.000e+00    0.000e+00
     0.501     0.240    0.000e+00    0.000e+00
     0.741     0.240    0.000e+00    0.000e+00
     0.981     0.240    1.187e-08    6.283e-10
     1.221     0.240    8.869e-09    4.696e-10
     1.461     0.240    5.778e-09    3.148e-10
     1.701     0.240    5.488e-09    3.051e-10
     1.941     0.240    4.432e-09    2.447e-10
     2.181     0.240    3.674e-09    2.272e-10
     2.421     0.240    3.978e-09    2.158e-10
     2.661     0.240    3.932e-09    2.395e-10
     2.901     0.240    4.103e-09    2.862e-10
     3.141     0.240    3.523e-09    2.502e-10
     3.381     0.240    3.619e-09    3.049e-10
     3.621     0.240    3.415e-09    3.191e-10
     3.861     0.240    4.349e-09    4.110e-10
     4.101     0.240    5.140e-09    5.068e-10
     4.341     0.240    4.513e-09    4.787e-10
     4.581     0.240    4.756e-09    5.847e-10
     4.821     0.240    5.136e-09    7.203e-10
     5.061     0.240    8.757e-09    1.068e-09
     5.301     0.240    7.638e-09    1.271e-09
     5.541     0.240    9.989e-09    1.622e-09
     5.781     0.240    5.363e-09    1.914e-09
     6.021     0.240    7.074e-09    2.577e-09
     6.261     0.240    1.316e-08    4.239e-09
     6.501     0.240    1.203e-08    8.471e-09
     6.741     0.240    9.146e-09    9.394e-09
     6.981     0.240    0.000e+00    0.000e+00
