# f1_exp_046_105_OM.dat                                                         
#                                                                               
# Z = 46, A = 105                                                               
# No. of entries: 51                                                            
# Col 1: photon energy E in MeV                                                 
# Col 2: bin width dE in MeV                                                    
# Col 3: dipole strength f1 in MeV^-3                                           
# Col 4: uncertainty df1 in MeV^-3                                              
# Format: 2f10.3, 2e12.3                                                        
# Author: T. K. Eriksen et al., Phys. Rev. C 90, 044311 (2014)                  
#    E         dE       f1           df1                                        
     0.120     0.124    0.000E+00    0.000E+00
     0.244     0.124    0.000E+00    0.000E+00
     0.368     0.124    0.000E+00    0.000E+00
     0.492     0.124    0.000E+00    0.000E+00
     0.616     0.124    0.000E+00    0.000E+00
     0.740     0.124    0.000E+00    0.000E+00
     0.864     0.124    0.000E+00    0.000E+00
     0.988     0.124    0.000E+00    0.000E+00
     1.112     0.124    0.000E+00    0.000E+00
     1.236     0.124    0.000E+00    0.000E+00
     1.360     0.124    0.000E+00    0.000E+00
     1.484     0.124    0.000E+00    0.000E+00
     1.608     0.124    0.000E+00    0.000E+00
     1.732     0.124    0.887E-08    0.409E-09
     1.856     0.124    0.856E-08    0.428E-09
     1.980     0.124    0.887E-08    0.415E-09
     2.104     0.124    0.823E-08    0.370E-09
     2.228     0.124    0.784E-08    0.375E-09
     2.352     0.124    0.862E-08    0.355E-09
     2.476     0.124    0.819E-08    0.401E-09
     2.600     0.124    0.804E-08    0.341E-09
     2.724     0.124    0.824E-08    0.439E-09
     2.848     0.124    0.814E-08    0.415E-09
     2.972     0.124    0.795E-08    0.448E-09
     3.096     0.124    0.839E-08    0.550E-09
     3.220     0.124    0.840E-08    0.493E-09
     3.344     0.124    0.838E-08    0.639E-09
     3.468     0.124    0.917E-08    0.771E-09
     3.592     0.124    0.104E-07    0.705E-09
     3.716     0.124    0.102E-07    0.758E-09
     3.840     0.124    0.988E-08    0.871E-09
     3.964     0.124    0.117E-07    0.104E-08
     4.088     0.124    0.121E-07    0.829E-09
     4.212     0.124    0.129E-07    0.113E-08
     4.336     0.124    0.132E-07    0.129E-08
     4.460     0.124    0.133E-07    0.140E-08
     4.584     0.124    0.146E-07    0.171E-08
     4.708     0.124    0.173E-07    0.205E-08
     4.832     0.124    0.193E-07    0.233E-08
     4.956     0.124    0.202E-07    0.215E-08
     5.080     0.124    0.214E-07    0.228E-08
     5.204     0.124    0.191E-07    0.242E-08
     5.328     0.124    0.213E-07    0.299E-08
     5.452     0.124    0.237E-07    0.382E-08
     5.576     0.124    0.228E-07    0.373E-08
     5.700     0.124    0.242E-07    0.370E-08
     5.824     0.124    0.320E-07    0.505E-08
     5.948     0.124    0.307E-07    0.560E-08
     6.072     0.124    0.384E-07    0.646E-08
     6.196     0.124    0.462E-07    0.821E-08
     6.320     0.124    0.437E-07    0.103E-07
