# f1_exp_048_106_OM.dat                                                         
#                                                                               
# Z = 48, A = 106                                                               
# No. of entries: 65                                                            
# Col 1: photon energy E in MeV                                                 
# Col 2: bin width dE in MeV                                                    
# Col 3: dipole strength f1 in MeV^-3                                           
# Col 4: uncertainty df1 in MeV^-3                                              
# Format: 2f10.3, 2e12.3                                                        
# Author: A. C. Larsen et al., Phys. Rev. C 87, 014319 (2013)                   
#    E         dE       f1           df1                                        
     0.011     0.124    0.000E+00    0.000E+00
     0.136     0.124    0.000E+00    0.000E+00
     0.260     0.124    0.000E+00    0.000E+00
     0.384     0.124    0.000E+00    0.000E+00
     0.507     0.124    0.000E+00    0.000E+00
     0.631     0.124    0.000E+00    0.000E+00
     0.755     0.124    0.000E+00    0.000E+00
     0.879     0.124    0.000E+00    0.000E+00
     1.004     0.124    0.000E+00    0.000E+00
     1.127     0.124    0.000E+00    0.000E+00
     1.252     0.124    0.000E+00    0.000E+00
     1.375     0.124    0.000E+00    0.000E+00
     1.500     0.124    0.000E+00    0.000E+00
     1.623     0.124    0.000E+00    0.000E+00
     1.748     0.124    0.000E+00    0.000E+00
     1.871     0.124    0.587E-08    0.468E-09
     1.996     0.124    0.703E-08    0.489E-09
     2.119     0.124    0.620E-08    0.435E-09
     2.244     0.124    0.606E-08    0.402E-09
     2.368     0.124    0.655E-08    0.485E-09
     2.491     0.124    0.684E-08    0.443E-09
     2.615     0.124    0.720E-08    0.394E-09
     2.740     0.124    0.574E-08    0.342E-09
     2.864     0.124    0.572E-08    0.409E-09
     2.987     0.124    0.518E-08    0.369E-09
     3.111     0.124    0.503E-08    0.334E-09
     3.236     0.124    0.559E-08    0.438E-09
     3.360     0.124    0.686E-08    0.428E-09
     3.483     0.124    0.696E-08    0.522E-09
     3.607     0.124    0.640E-08    0.497E-09
     3.732     0.124    0.757E-08    0.497E-09
     3.856     0.124    0.701E-08    0.473E-09
     3.979     0.124    0.683E-08    0.504E-09
     4.104     0.124    0.679E-08    0.542E-09
     4.228     0.124    0.808E-08    0.729E-09
     4.351     0.124    0.854E-08    0.805E-09
     4.476     0.124    0.929E-08    0.935E-09
     4.599     0.124    0.101E-07    0.848E-09
     4.723     0.124    0.124E-07    0.101E-08
     4.848     0.124    0.121E-07    0.105E-08
     4.971     0.124    0.157E-07    0.124E-08
     5.096     0.124    0.153E-07    0.156E-08
     5.220     0.124    0.168E-07    0.171E-08
     5.343     0.124    0.190E-07    0.182E-08
     5.468     0.124    0.222E-07    0.231E-08
     5.591     0.124    0.225E-07    0.251E-08
     5.715     0.124    0.266E-07    0.322E-08
     5.840     0.124    0.294E-07    0.329E-08
     5.963     0.124    0.300E-07    0.366E-08
     6.088     0.124    0.368E-07    0.406E-08
     6.212     0.124    0.383E-07    0.447E-08
     6.335     0.124    0.368E-07    0.487E-08
     6.460     0.124    0.370E-07    0.565E-08
     6.583     0.124    0.518E-07    0.695E-08
     6.707     0.124    0.560E-07    0.733E-08
     6.832     0.124    0.623E-07    0.945E-08
     6.955     0.124    0.659E-07    0.788E-08
     7.080     0.124    0.628E-07    0.870E-08
     7.204     0.124    0.415E-07    0.112E-07
     7.327     0.124    0.689E-07    0.115E-07
     7.452     0.124    0.709E-07    0.101E-07
     7.575     0.124    0.614E-07    0.208E-07
     7.699     0.124    0.861E-07    0.211E-07
     7.824     0.124    0.107E-06    0.231E-07
     7.947     0.124    0.771E-07    0.236E-07
