# f1_exp_048_112_OM.dat                                                         
#                                                                               
# Z = 48, A = 112                                                               
# No. of entries: 70                                                            
# Col 1: photon energy E in MeV                                                 
# Col 2: bin width dE in MeV                                                    
# Col 3: dipole strength f1 in MeV^-3                                           
# Col 4: uncertainty df1 in MeV^-3                                              
# Format: 2f10.3, 2e12.3                                                        
# Author: A. C. Larsen et al., Phys Rev. C 87, 014319 (2013)                    
#    E         dE       f1           df1                                        
     0.039     0.121    0.000E+00    0.000E+00
     0.160     0.121    0.000E+00    0.000E+00
     0.281     0.121    0.000E+00    0.000E+00
     0.402     0.121    0.000E+00    0.000E+00
     0.523     0.121    0.000E+00    0.000E+00
     0.643     0.121    0.000E+00    0.000E+00
     0.764     0.121    0.000E+00    0.000E+00
     0.885     0.121    0.000E+00    0.000E+00
     1.006     0.121    0.000E+00    0.000E+00
     1.127     0.121    0.000E+00    0.000E+00
     1.247     0.121    0.000E+00    0.000E+00
     1.368     0.121    0.000E+00    0.000E+00
     1.489     0.121    0.248E-08    0.295E-09
     1.610     0.121    0.457E-08    0.332E-09
     1.731     0.121    0.387E-08    0.288E-09
     1.851     0.121    0.373E-08    0.344E-09
     1.972     0.121    0.418E-08    0.275E-09
     2.093     0.121    0.369E-08    0.343E-09
     2.214     0.121    0.385E-08    0.330E-09
     2.335     0.121    0.489E-08    0.365E-09
     2.455     0.121    0.529E-08    0.348E-09
     2.576     0.121    0.582E-08    0.379E-09
     2.697     0.121    0.570E-08    0.330E-09
     2.818     0.121    0.606E-08    0.387E-09
     2.939     0.121    0.600E-08    0.366E-09
     3.059     0.121    0.581E-08    0.399E-09
     3.180     0.121    0.609E-08    0.569E-09
     3.301     0.121    0.540E-08    0.486E-09
     3.422     0.121    0.529E-08    0.630E-09
     3.543     0.121    0.641E-08    0.549E-09
     3.663     0.121    0.661E-08    0.623E-09
     3.784     0.121    0.698E-08    0.619E-09
     3.905     0.121    0.694E-08    0.805E-09
     4.026     0.121    0.687E-08    0.874E-09
     4.147     0.121    0.762E-08    0.919E-09
     4.267     0.121    0.998E-08    0.103E-08
     4.388     0.121    0.112E-07    0.113E-08
     4.509     0.121    0.932E-08    0.152E-08
     4.630     0.121    0.125E-07    0.162E-08
     4.751     0.121    0.111E-07    0.218E-08
     4.871     0.121    0.178E-07    0.218E-08
     4.992     0.121    0.170E-07    0.304E-08
     5.113     0.121    0.197E-07    0.318E-08
     5.234     0.121    0.201E-07    0.447E-08
     5.355     0.121    0.253E-07    0.390E-08
     5.475     0.121    0.302E-07    0.428E-08
     5.596     0.121    0.355E-07    0.462E-08
     5.717     0.121    0.363E-07    0.607E-08
     5.838     0.121    0.351E-07    0.874E-08
     5.959     0.121    0.331E-07    0.746E-08
     6.079     0.121    0.544E-07    0.878E-08
     6.200     0.121    0.677E-07    0.101E-07
     6.321     0.121    0.539E-07    0.133E-07
     6.442     0.121    0.597E-07    0.146E-07
     6.563     0.121    0.623E-07    0.159E-07
     6.683     0.121    0.697E-07    0.164E-07
     6.804     0.121    0.762E-07    0.190E-07
     6.925     0.121    0.964E-07    0.268E-07
     7.046     0.121    0.121E-06    0.263E-07
     7.167     0.121    0.101E-06    0.315E-07
     7.287     0.121    0.935E-07    0.330E-07
     7.408     0.121    0.106E-06    0.357E-07
     7.529     0.121    0.111E-06    0.366E-07
     7.650     0.121    0.176E-06    0.432E-07
     7.771     0.121    0.143E-06    0.496E-07
     7.891     0.121    0.177E-06    0.740E-07
     8.012     0.121    0.111E-06    0.624E-07
     8.133     0.121    0.188E-06    0.515E-07
     8.254     0.121    0.105E-06    0.655E-07
     8.375     0.121    0.143E-06    0.771E-07
