# f1_exp_050_117_OM.dat                                                         
#                                                                               
# Z = 50, A = 117                                                               
# No. of entries: 65                                                            
# Col 1: photon energy E in MeV                                                 
# Col 2: bin width dE in MeV                                                    
# Col 3: dipole strength f1 in MeV^-3                                           
# Col 4: uncertainty df1 in MeV^-3                                              
# Format: 2f10.3, 2e12.3                                                        
# Author: H. K. Toft et al., Phys. Rev. C 81, 064311 (2010)                     
#    E         dE       f1           df1                                        
     0.015     0.120    0.000E+00    0.000E+00
     0.135     0.120    0.000E+00    0.000E+00
     0.255     0.120    0.000E+00    0.000E+00
     0.375     0.120    0.000E+00    0.000E+00
     0.495     0.120    0.000E+00    0.000E+00
     0.615     0.120    0.000E+00    0.000E+00
     0.735     0.120    0.000E+00    0.000E+00
     0.855     0.120    0.000E+00    0.000E+00
     0.975     0.120    0.000E+00    0.000E+00
     1.095     0.120    0.000E+00    0.000E+00
     1.215     0.120    0.000E+00    0.000E+00
     1.335     0.120    0.000E+00    0.000E+00
     1.455     0.120    0.130E-08    0.204E-09
     1.575     0.120    0.387E-08    0.118E-09
     1.695     0.120    0.484E-08    0.121E-09
     1.815     0.120    0.522E-08    0.115E-09
     1.935     0.120    0.450E-08    0.109E-09
     2.055     0.120    0.490E-08    0.112E-09
     2.175     0.120    0.521E-08    0.994E-10
     2.295     0.120    0.544E-08    0.109E-09
     2.415     0.120    0.541E-08    0.116E-09
     2.535     0.120    0.589E-08    0.119E-09
     2.655     0.120    0.639E-08    0.134E-09
     2.775     0.120    0.668E-08    0.115E-09
     2.895     0.120    0.692E-08    0.142E-09
     3.015     0.120    0.695E-08    0.157E-09
     3.135     0.120    0.700E-08    0.138E-09
     3.255     0.120    0.729E-08    0.164E-09
     3.375     0.120    0.727E-08    0.150E-09
     3.495     0.120    0.777E-08    0.187E-09
     3.615     0.120    0.756E-08    0.199E-09
     3.735     0.120    0.831E-08    0.211E-09
     3.855     0.120    0.866E-08    0.208E-09
     3.975     0.120    0.943E-08    0.264E-09
     4.095     0.120    0.927E-08    0.311E-09
     4.215     0.120    0.108E-07    0.328E-09
     4.335     0.120    0.114E-07    0.386E-09
     4.455     0.120    0.117E-07    0.364E-09
     4.575     0.120    0.135E-07    0.444E-09
     4.695     0.120    0.144E-07    0.448E-09
     4.815     0.120    0.171E-07    0.619E-09
     4.935     0.120    0.191E-07    0.705E-09
     5.055     0.120    0.205E-07    0.852E-09
     5.175     0.120    0.231E-07    0.938E-09
     5.295     0.120    0.259E-07    0.993E-09
     5.415     0.120    0.308E-07    0.129E-08
     5.535     0.120    0.343E-07    0.140E-08
     5.655     0.120    0.376E-07    0.165E-08
     5.775     0.120    0.417E-07    0.250E-08
     5.895     0.120    0.487E-07    0.238E-08
     6.015     0.120    0.559E-07    0.267E-08
     6.135     0.120    0.602E-07    0.357E-08
     6.255     0.120    0.665E-07    0.344E-08
     6.375     0.120    0.765E-07    0.439E-08
     6.495     0.120    0.812E-07    0.538E-08
     6.615     0.120    0.816E-07    0.694E-08
     6.735     0.120    0.811E-07    0.694E-08
     6.855     0.120    0.105E-06    0.698E-08
     6.975     0.120    0.103E-06    0.890E-08
     7.095     0.120    0.111E-06    0.110E-07
     7.215     0.120    0.109E-06    0.125E-07
     7.335     0.120    0.129E-06    0.140E-07
     7.455     0.120    0.110E-06    0.137E-07
     7.575     0.120    0.143E-06    0.214E-07
     7.695     0.120    0.131E-06    0.194E-07
