# f1_exp_057_139_OM_EB.dat                                                      
#                                                                               
# Z = 57, A = 139                                                               
# No. of entries: 50                                                            
# Col 1: photon energy E in MeV                                                 
# Col 2: bin width dE in MeV                                                    
# Col 3: dipole strength f1 in MeV^-3                                           
# Col 4: uncertainty df1 in MeV^-3                                              
# Format: 2f10.3, 2e12.3                                                        
# Author: B. V. Kheswa et al., Phys. Rev. C 95, 045805 (2017)                   
#    E         dE       f1           df1                                        
     1.733     0.137    0.766E-08    0.291E-09
     1.870     0.137    0.793E-08    0.338E-09
     2.006     0.137    0.751E-08    0.317E-09
     2.143     0.137    0.707E-08    0.275E-09
     2.279     0.137    0.708E-08    0.291E-09
     2.416     0.137    0.659E-08    0.263E-09
     2.553     0.137    0.793E-08    0.281E-09
     2.689     0.137    0.770E-08    0.305E-09
     2.826     0.137    0.540E-08    0.220E-09
     2.962     0.137    0.496E-08    0.213E-09
     3.099     0.137    0.629E-08    0.265E-09
     3.236     0.137    0.729E-08    0.264E-09
     3.372     0.137    0.693E-08    0.249E-09
     3.509     0.137    0.798E-08    0.274E-09
     3.645     0.137    0.847E-08    0.326E-09
     3.782     0.137    0.852E-08    0.281E-09
     3.919     0.137    0.876E-08    0.323E-09
     4.055     0.137    0.978E-08    0.347E-09
     4.192     0.137    0.111E-07    0.406E-09
     4.328     0.137    0.121E-07    0.431E-09
     4.465     0.137    0.124E-07    0.521E-09
     4.602     0.137    0.152E-07    0.611E-09
     4.738     0.137    0.176E-07    0.720E-09
     4.875     0.137    0.185E-07    0.784E-09
     5.011     0.137    0.214E-07    0.865E-09
     5.148     0.137    0.249E-07    0.843E-09
     5.285     0.137    0.279E-07    0.104E-08
     5.421     0.137    0.324E-07    0.127E-08
     5.558     0.137    0.364E-07    0.162E-08
     5.694     0.137    0.402E-07    0.160E-08
     5.831     0.137    0.457E-07    0.172E-08
     5.968     0.137    0.549E-07    0.245E-08
     6.104     0.137    0.653E-07    0.300E-08
     6.241     0.137    0.751E-07    0.333E-08
     6.377     0.137    0.810E-07    0.289E-08
     6.514     0.137    0.708E-07    0.289E-08
     6.651     0.137    0.754E-07    0.312E-08
     6.787     0.137    0.785E-07    0.335E-08
     6.924     0.137    0.893E-07    0.334E-08
     7.060     0.137    0.754E-07    0.321E-08
     7.197     0.137    0.738E-07    0.374E-08
     7.334     0.137    0.103E-06    0.769E-08
     7.470     0.137    0.843E-07    0.562E-08
     7.607     0.137    0.789E-07    0.418E-08
     7.743     0.137    0.720E-07    0.409E-08
     7.880     0.137    0.636E-07    0.501E-08
     8.017     0.137    0.824E-07    0.728E-08
     8.153     0.137    0.466E-07    0.720E-08
     8.290     0.137    0.712E-07    0.160E-07
     8.426     0.137    0.542E-07    0.270E-07
