# f1_exp_057_140_OM_BSFG.dat                                                    
#                                                                               
# Z = 57, A = 140                                                               
# No. of entries: 29                                                            
# Col 1: photon energy E in MeV                                                 
# Col 2: bin width dE in MeV                                                    
# Col 3: dipole strength f1 in MeV^-3                                           
# Col 4: uncertainty df1 in MeV^-3                                              
# Format: 2f10.3, 2e12.3                                                        
# Author: B. V. Kheswa et al., Phys. Rev. C 95, 045805 (2017)                   
#    E         dE       f1           df1                                        
     1.059     0.126    0.848E-08    0.251E-09
     1.185     0.126    0.705E-08    0.209E-09
     1.310     0.126    0.688E-08    0.212E-09
     1.436     0.126    0.674E-08    0.229E-09
     1.561     0.126    0.678E-08    0.248E-09
     1.687     0.126    0.662E-08    0.249E-09
     1.812     0.126    0.620E-08    0.248E-09
     1.938     0.126    0.593E-08    0.248E-09
     2.063     0.126    0.609E-08    0.301E-09
     2.189     0.126    0.633E-08    0.329E-09
     2.314     0.126    0.635E-08    0.346E-09
     2.440     0.126    0.654E-08    0.349E-09
     2.565     0.126    0.746E-08    0.419E-09
     2.691     0.126    0.723E-08    0.403E-09
     2.816     0.126    0.677E-08    0.446E-09
     2.942     0.126    0.735E-08    0.466E-09
     3.067     0.126    0.757E-08    0.499E-09
     3.193     0.126    0.796E-08    0.645E-09
     3.318     0.126    0.794E-08    0.674E-09
     3.444     0.126    0.865E-08    0.728E-09
     3.569     0.126    0.961E-08    0.816E-09
     3.695     0.126    0.108E-07    0.100E-08
     3.820     0.126    0.116E-07    0.102E-08
     3.946     0.126    0.126E-07    0.119E-08
     4.071     0.126    0.145E-07    0.128E-08
     4.197     0.126    0.151E-07    0.152E-08
     4.322     0.126    0.180E-07    0.205E-08
     4.448     0.126    0.223E-07    0.247E-08
