# f1_exp_057_140_OM_HFB.dat                                                     
#                                                                               
# Z = 57, A = 140                                                               
# No. of entries: 29                                                            
# Col 1: photon energy E in MeV                                                 
# Col 2: bin width dE in MeV                                                    
# Col 3: dipole strength f1 in MeV^-3                                           
# Col 4: uncertainty df1 in MeV^-3                                              
# Format: 2f10.3, 2e12.3                                                        
# Author: B. V. Kheswa et al., Phys. Rev. C 95, 045805 (2017)                   
#    E         dE       f1           df1                                        
     1.059     0.126    0.506E-08    0.150E-09
     1.185     0.126    0.432E-08    0.128E-09
     1.310     0.126    0.432E-08    0.134E-09
     1.436     0.126    0.435E-08    0.148E-09
     1.561     0.126    0.449E-08    0.164E-09
     1.687     0.126    0.450E-08    0.169E-09
     1.812     0.126    0.432E-08    0.172E-09
     1.938     0.126    0.424E-08    0.177E-09
     2.063     0.126    0.447E-08    0.221E-09
     2.189     0.126    0.477E-08    0.248E-09
     2.314     0.126    0.491E-08    0.267E-09
     2.440     0.126    0.518E-08    0.277E-09
     2.565     0.126    0.608E-08    0.341E-09
     2.691     0.126    0.604E-08    0.337E-09
     2.816     0.126    0.580E-08    0.383E-09
     2.942     0.126    0.647E-08    0.410E-09
     3.067     0.126    0.683E-08    0.451E-09
     3.193     0.126    0.737E-08    0.597E-09
     3.318     0.126    0.755E-08    0.641E-09
     3.444     0.126    0.844E-08    0.710E-09
     3.569     0.126    0.962E-08    0.817E-09
     3.695     0.126    0.110E-07    0.103E-08
     3.820     0.126    0.123E-07    0.107E-08
     3.946     0.126    0.137E-07    0.128E-08
     4.071     0.126    0.161E-07    0.142E-08
     4.197     0.126    0.172E-07    0.173E-08
     4.322     0.126    0.210E-07    0.240E-08
     4.448     0.126    0.268E-07    0.297E-08
