# f1_exp_062_149_OM.dat                                                         
#                                                                               
# Z = 62, A = 149                                                               
# No. of entries: 34                                                            
# Col 1: photon energy E in MeV                                                 
# Col 2: bin width dE in MeV                                                    
# Col 3: dipole strength f1 in MeV^-3                                           
# Col 4: uncertainty df1 in MeV^-3                                              
# Format: 2f10.3, 2e12.3                                                        
# Author: S. Siem et al., Phys. Rev. C 65, 044318 (2002)                        
#    E         dE       f1           df1                                        
     1.422     0.115    0.110E-07    0.605E-09
     1.537     0.115    0.114E-07    0.615E-09
     1.652     0.115    0.126E-07    0.631E-09
     1.768     0.115    0.135E-07    0.599E-09
     1.883     0.115    0.148E-07    0.577E-09
     1.999     0.115    0.152E-07    0.585E-09
     2.114     0.115    0.157E-07    0.694E-09
     2.229     0.115    0.178E-07    0.713E-09
     2.345     0.115    0.171E-07    0.661E-09
     2.460     0.115    0.179E-07    0.659E-09
     2.576     0.115    0.185E-07    0.974E-09
     2.691     0.115    0.191E-07    0.971E-09
     2.806     0.115    0.202E-07    0.958E-09
     2.922     0.115    0.201E-07    0.101E-08
     3.037     0.115    0.190E-07    0.104E-08
     3.153     0.115    0.199E-07    0.118E-08
     3.268     0.115    0.211E-07    0.130E-08
     3.383     0.115    0.230E-07    0.149E-08
     3.499     0.115    0.253E-07    0.175E-08
     3.614     0.115    0.254E-07    0.182E-08
     3.730     0.115    0.256E-07    0.213E-08
     3.845     0.115    0.264E-07    0.225E-08
     3.960     0.115    0.252E-07    0.237E-08
     4.076     0.115    0.284E-07    0.286E-08
     4.191     0.115    0.303E-07    0.354E-08
     4.307     0.115    0.370E-07    0.441E-08
     4.422     0.115    0.447E-07    0.496E-08
     4.537     0.115    0.404E-07    0.554E-08
     4.653     0.115    0.534E-07    0.716E-08
     4.768     0.115    0.383E-07    0.686E-08
     4.884     0.115    0.363E-07    0.786E-08
     4.999     0.115    0.456E-07    0.903E-08
     5.114     0.115    0.103E-06    0.179E-07
     5.230     0.115    0.944E-07    0.225E-07
