# f1_exp_062_151_OM.dat                                                         
#                                                                               
# Z = 62, A = 151                                                               
# No. of entries: 49                                                            
# Col 1: photon energy E in MeV                                                 
# Col 2: bin width dE in MeV                                                    
# Col 3: dipole strength f1 in MeV^-3                                           
# Col 4: uncertainty df1 in MeV^-3                                              
# Format: 2f10.3, 2e12.3                                                        
# Author: A. Simon et al., Phys. Rev. C 93, 034303 (2016)                       
#    E         dE       f1           df1                                        
    -0.755     0.100    0.000E+00    0.000E+00
    -0.655     0.100    0.000E+00    0.000E+00
    -0.555     0.100    0.000E+00    0.000E+00
    -0.455     0.100    0.000E+00    0.000E+00
    -0.355     0.100    0.000E+00    0.000E+00
    -0.255     0.100    0.000E+00    0.000E+00
    -0.155     0.100    0.000E+00    0.000E+00
    -0.055     0.100    0.000E+00    0.000E+00
     0.045     0.100    0.000E+00    0.000E+00
     0.145     0.100    0.000E+00    0.000E+00
     0.245     0.100    0.000E+00    0.000E+00
     0.345     0.100    0.000E+00    0.000E+00
     0.445     0.100    0.000E+00    0.000E+00
     0.545     0.100    0.000E+00    0.000E+00
     0.645     0.100    0.815E-07    0.434E-08
     0.745     0.100    0.849E-07    0.406E-08
     0.845     0.100    0.512E-07    0.275E-08
     0.945     0.100    0.355E-07    0.188E-08
     1.045     0.100    0.296E-07    0.204E-08
     1.145     0.100    0.299E-07    0.160E-08
     1.245     0.100    0.295E-07    0.153E-08
     1.345     0.100    0.220E-07    0.161E-08
     1.445     0.100    0.240E-07    0.158E-08
     1.545     0.100    0.241E-07    0.148E-08
     1.645     0.100    0.260E-07    0.161E-08
     1.745     0.100    0.275E-07    0.168E-08
     1.845     0.100    0.287E-07    0.167E-08
     1.945     0.100    0.302E-07    0.176E-08
     2.045     0.100    0.319E-07    0.207E-08
     2.145     0.100    0.333E-07    0.193E-08
     2.245     0.100    0.331E-07    0.202E-08
     2.345     0.100    0.317E-07    0.228E-08
     2.445     0.100    0.306E-07    0.201E-08
     2.545     0.100    0.370E-07    0.252E-08
     2.645     0.100    0.430E-07    0.282E-08
     2.745     0.100    0.477E-07    0.344E-08
     2.845     0.100    0.466E-07    0.332E-08
     2.945     0.100    0.461E-07    0.327E-08
     3.045     0.100    0.406E-07    0.321E-08
     3.145     0.100    0.488E-07    0.388E-08
     3.245     0.100    0.419E-07    0.402E-08
     3.345     0.100    0.459E-07    0.483E-08
     3.445     0.100    0.497E-07    0.487E-08
     3.545     0.100    0.513E-07    0.666E-08
     3.645     0.100    0.459E-07    0.697E-08
     3.745     0.100    0.378E-07    0.646E-08
     3.845     0.100    0.401E-07    0.896E-08
     3.945     0.100    0.238E-07    0.822E-08
     4.045     0.100    0.460E-07    0.203E-07
