# f1_exp_066_162_OM_EB_a.dat                                                    
#                                                                               
# Z = 66, A = 162                                                               
# No. of entries: 42                                                            
# Col 1: photon energy E in MeV                                                 
# Col 2: bin width dE in MeV                                                    
# Col 3: dipole strength f1 in MeV^-3                                           
# Col 4: uncertainty df1 in MeV^-3                                              
# Format: 2f10.3, 2e12.3                                                        
# Author: A. Voinov et al., Phys. Rev. C 63, 044313 (2001)                      
#    E         dE       f1           df1                                        
     1.500     0.120    0.916E-08    0.944E-09
     1.620     0.120    0.110E-07    0.112E-08
     1.740     0.120    0.120E-07    0.960E-09
     1.860     0.120    0.143E-07    0.104E-08
     1.980     0.120    0.146E-07    0.983E-09
     2.100     0.120    0.150E-07    0.106E-08
     2.220     0.120    0.185E-07    0.114E-08
     2.340     0.120    0.215E-07    0.121E-08
     2.460     0.120    0.244E-07    0.140E-08
     2.580     0.120    0.248E-07    0.148E-08
     2.700     0.120    0.236E-07    0.140E-08
     2.820     0.120    0.254E-07    0.154E-08
     2.940     0.120    0.248E-07    0.153E-08
     3.060     0.120    0.251E-07    0.165E-08
     3.180     0.120    0.237E-07    0.150E-08
     3.300     0.120    0.240E-07    0.159E-08
     3.420     0.120    0.222E-07    0.151E-08
     3.540     0.120    0.237E-07    0.168E-08
     3.660     0.120    0.235E-07    0.174E-08
     3.780     0.120    0.230E-07    0.195E-08
     3.900     0.120    0.261E-07    0.221E-08
     4.020     0.120    0.241E-07    0.202E-08
     4.140     0.120    0.231E-07    0.238E-08
     4.260     0.120    0.261E-07    0.272E-08
     4.380     0.120    0.299E-07    0.293E-08
     4.500     0.120    0.340E-07    0.350E-08
     4.620     0.120    0.379E-07    0.427E-08
     4.740     0.120    0.349E-07    0.430E-08
     4.860     0.120    0.467E-07    0.530E-08
     4.980     0.120    0.339E-07    0.532E-08
     5.100     0.120    0.389E-07    0.607E-08
     5.220     0.120    0.394E-07    0.608E-08
     5.340     0.120    0.399E-07    0.793E-08
     5.460     0.120    0.517E-07    0.117E-07
     5.580     0.120    0.551E-07    0.987E-08
     5.700     0.120    0.443E-07    0.131E-07
     5.820     0.120    0.549E-07    0.130E-07
     5.940     0.120    0.708E-07    0.176E-07
     6.060     0.120    0.512E-07    0.198E-07
     6.180     0.120    0.630E-07    0.216E-07
     6.300     0.120    0.116E-06    0.376E-07
     6.420     0.120    0.111E-06    0.419E-07
