# f1_exp_066_162_OM_GC_a.dat                                                    
#                                                                               
# Z = 66, A = 162                                                               
# No. of entries: 61                                                            
# Col 1: photon energy E in MeV                                                 
# Col 2: bin width dE in MeV                                                    
# Col 3: dipole strength f1 in MeV^-3                                           
# Col 4: uncertainty df1 in MeV^-3                                              
# Format: 2f10.3, 2e12.3                                                        
# Author: M. Guttormsen et al., Phys. Rev. C 68, 064306 (2003)                  
#    E         dE       f1           df1                                        
     1.020     0.120    0.684E-09    0.364E-08
     1.140     0.120    0.110E-08    0.277E-08
     1.260     0.120    0.982E-09    0.226E-08
     1.380     0.120    0.404E-08    0.104E-08
     1.500     0.120    0.797E-08    0.876E-09
     1.620     0.120    0.963E-08    0.774E-09
     1.740     0.120    0.105E-07    0.880E-09
     1.860     0.120    0.125E-07    0.895E-09
     1.980     0.120    0.128E-07    0.865E-09
     2.100     0.120    0.132E-07    0.963E-09
     2.220     0.120    0.162E-07    0.105E-08
     2.340     0.120    0.188E-07    0.113E-08
     2.460     0.120    0.213E-07    0.139E-08
     2.580     0.120    0.217E-07    0.135E-08
     2.700     0.120    0.206E-07    0.146E-08
     2.820     0.120    0.220E-07    0.162E-08
     2.940     0.120    0.215E-07    0.154E-08
     3.060     0.120    0.217E-07    0.164E-08
     3.180     0.120    0.203E-07    0.166E-08
     3.300     0.120    0.206E-07    0.180E-08
     3.420     0.120    0.187E-07    0.172E-08
     3.540     0.120    0.201E-07    0.181E-08
     3.660     0.120    0.200E-07    0.190E-08
     3.780     0.120    0.193E-07    0.213E-08
     3.900     0.120    0.215E-07    0.212E-08
     4.020     0.120    0.203E-07    0.218E-08
     4.140     0.120    0.219E-07    0.206E-08
     4.260     0.120    0.264E-07    0.284E-08
     4.380     0.120    0.290E-07    0.347E-08
     4.500     0.120    0.316E-07    0.326E-08
     4.620     0.120    0.356E-07    0.429E-08
     4.740     0.120    0.348E-07    0.479E-08
     4.860     0.120    0.410E-07    0.494E-08
     4.980     0.120    0.373E-07    0.467E-08
     5.100     0.120    0.443E-07    0.499E-08
     5.220     0.120    0.485E-07    0.633E-08
     5.340     0.120    0.458E-07    0.752E-08
     5.460     0.120    0.560E-07    0.867E-08
     5.580     0.120    0.560E-07    0.110E-07
     5.700     0.120    0.529E-07    0.133E-07
     5.820     0.120    0.693E-07    0.122E-07
     5.940     0.120    0.759E-07    0.177E-07
     6.060     0.120    0.714E-07    0.193E-07
     6.180     0.120    0.967E-07    0.249E-07
     6.300     0.120    0.117E-06    0.270E-07
     6.420     0.120    0.150E-06    0.397E-07
     6.540     0.120    0.123E-06    0.559E-07
     6.660     0.120    0.127E-06    0.561E-07
     6.780     0.120    0.982E-07    0.806E-07
     6.900     0.120    0.863E-07    0.908E-07
     7.020     0.120    0.105E-06    0.937E-07
     7.140     0.120    0.597E-07    0.132E-06
     7.260     0.120    0.120E-06    0.137E-06
     7.380     0.120    0.699E-07    0.177E-06
     7.500     0.120    0.449E-07    0.168E-06
     7.620     0.120    0.910E-07    0.195E-06
     7.740     0.120    0.188E-06    0.211E-06
     7.860     0.120    0.199E-06    0.330E-06
     7.980     0.120    0.473E-06    0.393E-06
     8.100     0.120    0.722E-07    0.422E-06
     8.220     0.120    0.000E+00    0.385E-06
