# f1_exp_066_163_OM.dat                                                         
#                                                                               
# Z = 66, A = 163                                                               
# No. of entries: 53                                                            
# Col 1: photon energy E in MeV                                                 
# Col 2: bin width dE in MeV                                                    
# Col 3: dipole strength f1 in MeV^-3                                           
# Col 4: uncertainty df1 in MeV^-3                                              
# Format: 2f10.3, 2e12.3                                                        
# Author: H. T. Nyhus et al., Phys. Rev. C 81, 024325 (2010)                    
#    E         dE       f1           df1                                        
     0.015     0.120    0.000E+00    0.000E+00
     0.135     0.120    0.000E+00    0.000E+00
     0.255     0.120    0.000E+00    0.000E+00
     0.375     0.120    0.000E+00    0.000E+00
     0.495     0.120    0.000E+00    0.000E+00
     0.615     0.120    0.000E+00    0.000E+00
     0.735     0.120    0.000E+00    0.000E+00
     0.855     0.120    0.000E+00    0.000E+00
     0.975     0.120    0.000E+00    0.000E+00
     1.095     0.120    0.000E+00    0.000E+00
     1.215     0.120    0.727E-08    0.178E-08
     1.335     0.120    0.983E-08    0.140E-08
     1.455     0.120    0.114E-07    0.131E-08
     1.575     0.120    0.125E-07    0.116E-08
     1.695     0.120    0.132E-07    0.132E-08
     1.815     0.120    0.151E-07    0.124E-08
     1.935     0.120    0.155E-07    0.111E-08
     2.055     0.120    0.193E-07    0.109E-08
     2.175     0.120    0.221E-07    0.117E-08
     2.295     0.120    0.284E-07    0.127E-08
     2.415     0.120    0.320E-07    0.123E-08
     2.535     0.120    0.364E-07    0.146E-08
     2.655     0.120    0.419E-07    0.136E-08
     2.775     0.120    0.422E-07    0.145E-08
     2.895     0.120    0.431E-07    0.149E-08
     3.015     0.120    0.423E-07    0.156E-08
     3.135     0.120    0.410E-07    0.164E-08
     3.255     0.120    0.383E-07    0.212E-08
     3.375     0.120    0.383E-07    0.212E-08
     3.495     0.120    0.374E-07    0.183E-08
     3.615     0.120    0.352E-07    0.225E-08
     3.735     0.120    0.401E-07    0.274E-08
     3.855     0.120    0.353E-07    0.259E-08
     3.975     0.120    0.457E-07    0.275E-08
     4.095     0.120    0.407E-07    0.342E-08
     4.215     0.120    0.467E-07    0.427E-08
     4.335     0.120    0.600E-07    0.478E-08
     4.455     0.120    0.541E-07    0.574E-08
     4.575     0.120    0.584E-07    0.551E-08
     4.695     0.120    0.646E-07    0.780E-08
     4.815     0.120    0.688E-07    0.810E-08
     4.935     0.120    0.762E-07    0.843E-08
     5.055     0.120    0.795E-07    0.966E-08
     5.175     0.120    0.861E-07    0.108E-07
     5.295     0.120    0.960E-07    0.150E-07
     5.415     0.120    0.859E-07    0.137E-07
     5.535     0.120    0.117E-06    0.170E-07
     5.655     0.120    0.123E-06    0.224E-07
     5.775     0.120    0.948E-07    0.278E-07
     5.895     0.120    0.111E-06    0.330E-07
     6.015     0.120    0.796E-07    0.450E-07
     6.135     0.120    0.324E-06    0.103E-06
     6.255     0.120    0.136E-06    0.119E-06
