# f1_exp_068_167_OM.dat                                                         
#                                                                               
# Z = 68, A = 167                                                               
# No. of entries: 40                                                            
# Col 1: photon energy E in MeV                                                 
# Col 2: bin width dE in MeV                                                    
# Col 3: dipole strength f1 in MeV^-3                                           
# Col 4: uncertainty df1 in MeV^-3                                              
# Format: 2f10.3, 2e12.3                                                        
# Author: E. Melby et al., Phys. Rev. C 63, 044309 (2001)                       
#    E         dE       f1           df1                                        
     1.440     0.120    0.103E-07    0.625E-09
     1.560     0.120    0.120E-07    0.547E-09
     1.680     0.120    0.131E-07    0.589E-09
     1.800     0.120    0.145E-07    0.525E-09
     1.920     0.120    0.156E-07    0.559E-09
     2.040     0.120    0.166E-07    0.565E-09
     2.160     0.120    0.182E-07    0.571E-09
     2.280     0.120    0.201E-07    0.634E-09
     2.400     0.120    0.205E-07    0.587E-09
     2.520     0.120    0.215E-07    0.663E-09
     2.640     0.120    0.245E-07    0.786E-09
     2.760     0.120    0.270E-07    0.793E-09
     2.880     0.120    0.297E-07    0.873E-09
     3.000     0.120    0.320E-07    0.962E-09
     3.120     0.120    0.328E-07    0.948E-09
     3.240     0.120    0.342E-07    0.110E-08
     3.360     0.120    0.339E-07    0.125E-08
     3.480     0.120    0.361E-07    0.129E-08
     3.600     0.120    0.335E-07    0.133E-08
     3.720     0.120    0.369E-07    0.152E-08
     3.840     0.120    0.383E-07    0.162E-08
     3.960     0.120    0.364E-07    0.147E-08
     4.080     0.120    0.359E-07    0.201E-08
     4.200     0.120    0.364E-07    0.225E-08
     4.320     0.120    0.410E-07    0.265E-08
     4.440     0.120    0.395E-07    0.314E-08
     4.560     0.120    0.506E-07    0.369E-08
     4.680     0.120    0.565E-07    0.439E-08
     4.800     0.120    0.496E-07    0.419E-08
     4.920     0.120    0.548E-07    0.492E-08
     5.040     0.120    0.579E-07    0.574E-08
     5.160     0.120    0.635E-07    0.781E-08
     5.280     0.120    0.539E-07    0.774E-08
     5.400     0.120    0.652E-07    0.921E-08
     5.520     0.120    0.530E-07    0.113E-07
     5.640     0.120    0.109E-06    0.171E-07
     5.760     0.120    0.113E-06    0.240E-07
     5.880     0.120    0.778E-07    0.242E-07
     6.000     0.120    0.108E-06    0.332E-07
     6.120     0.120    0.101E-06    0.374E-07
