# f1_exp_070_170_OM.dat                                                         
#                                                                               
# Z = 70, A = 170                                                               
# No. of entries: 53                                                            
# Col 1: photon energy E in MeV                                                 
# Col 2: bin width dE in MeV                                                    
# Col 3: dipole strength f1 in MeV^-3                                           
# Col 4: uncertainty df1 in MeV^-3                                              
# Format: 2f10.3, 2e12.3                                                        
# Author: U. Agvaanluvsan et al., Phys. Rev. C 70, 054611 (2004)                
#    E         dE       f1           df1                                        
     0.997     0.120    0.183E-08    0.467E-08
     1.117     0.120    0.154E-08    0.376E-08
     1.237     0.120    0.539E-08    0.233E-08
     1.357     0.120    0.593E-08    0.209E-08
     1.477     0.120    0.998E-08    0.144E-08
     1.597     0.120    0.133E-07    0.133E-08
     1.717     0.120    0.115E-07    0.142E-08
     1.837     0.120    0.147E-07    0.113E-08
     1.957     0.120    0.166E-07    0.141E-08
     2.077     0.120    0.171E-07    0.144E-08
     2.197     0.120    0.184E-07    0.145E-08
     2.317     0.120    0.177E-07    0.160E-08
     2.437     0.120    0.205E-07    0.182E-08
     2.557     0.120    0.213E-07    0.170E-08
     2.677     0.120    0.234E-07    0.209E-08
     2.797     0.120    0.246E-07    0.194E-08
     2.917     0.120    0.247E-07    0.216E-08
     3.037     0.120    0.291E-07    0.239E-08
     3.157     0.120    0.292E-07    0.283E-08
     3.277     0.120    0.327E-07    0.272E-08
     3.397     0.120    0.378E-07    0.322E-08
     3.517     0.120    0.333E-07    0.309E-08
     3.637     0.120    0.398E-07    0.361E-08
     3.757     0.120    0.368E-07    0.351E-08
     3.877     0.120    0.309E-07    0.353E-08
     3.997     0.120    0.320E-07    0.383E-08
     4.117     0.120    0.409E-07    0.468E-08
     4.237     0.120    0.442E-07    0.468E-08
     4.357     0.120    0.433E-07    0.515E-08
     4.477     0.120    0.490E-07    0.498E-08
     4.597     0.120    0.498E-07    0.620E-08
     4.717     0.120    0.481E-07    0.627E-08
     4.837     0.120    0.519E-07    0.679E-08
     4.957     0.120    0.529E-07    0.734E-08
     5.077     0.120    0.633E-07    0.891E-08
     5.197     0.120    0.713E-07    0.953E-08
     5.317     0.120    0.713E-07    0.106E-07
     5.437     0.120    0.818E-07    0.124E-07
     5.557     0.120    0.832E-07    0.137E-07
     5.677     0.120    0.113E-06    0.165E-07
     5.797     0.120    0.122E-06    0.215E-07
     5.917     0.120    0.122E-06    0.222E-07
     6.037     0.120    0.134E-06    0.248E-07
     6.157     0.120    0.112E-06    0.290E-07
     6.277     0.120    0.971E-07    0.336E-07
     6.397     0.120    0.133E-06    0.365E-07
     6.517     0.120    0.195E-06    0.416E-07
     6.637     0.120    0.125E-06    0.600E-07
     6.757     0.120    0.219E-06    0.552E-07
     6.877     0.120    0.178E-06    0.520E-07
     6.997     0.120    0.131E-06    0.616E-07
     7.117     0.120    0.183E-06    0.641E-07
     7.237     0.120    0.126E-06    0.923E-07
