# f1_exp_070_171_OM_3he.dat                                                     
#                                                                               
# Z = 70, A = 171                                                               
# No. of entries: 47                                                            
# Col 1: photon energy E in MeV                                                 
# Col 2: bin width dE in MeV                                                    
# Col 3: dipole strength f1 in MeV^-3                                           
# Col 4: uncertainty df1 in MeV^-3                                              
# Format: 2f10.3, 2e12.3                                                        
# Author: U. Agvaanluvsan et al., Phys. Rev. C 70, 054611 (2004)                
#    E         dE       f1           df1                                        
     1.041     0.120    0.857E-08    0.612E-09
     1.161     0.120    0.816E-08    0.554E-09
     1.281     0.120    0.869E-08    0.484E-09
     1.401     0.120    0.102E-07    0.450E-09
     1.521     0.120    0.968E-08    0.470E-09
     1.641     0.120    0.864E-08    0.455E-09
     1.761     0.120    0.875E-08    0.458E-09
     1.881     0.120    0.106E-07    0.485E-09
     2.001     0.120    0.129E-07    0.549E-09
     2.121     0.120    0.141E-07    0.420E-09
     2.241     0.120    0.144E-07    0.519E-09
     2.361     0.120    0.156E-07    0.472E-09
     2.481     0.120    0.161E-07    0.480E-09
     2.601     0.120    0.165E-07    0.465E-09
     2.721     0.120    0.190E-07    0.547E-09
     2.841     0.120    0.222E-07    0.696E-09
     2.961     0.120    0.245E-07    0.734E-09
     3.081     0.120    0.279E-07    0.765E-09
     3.201     0.120    0.303E-07    0.863E-09
     3.321     0.120    0.330E-07    0.116E-08
     3.441     0.120    0.361E-07    0.111E-08
     3.561     0.120    0.369E-07    0.125E-08
     3.681     0.120    0.380E-07    0.145E-08
     3.801     0.120    0.397E-07    0.173E-08
     3.921     0.120    0.384E-07    0.172E-08
     4.041     0.120    0.389E-07    0.185E-08
     4.161     0.120    0.385E-07    0.216E-08
     4.281     0.120    0.425E-07    0.281E-08
     4.401     0.120    0.370E-07    0.301E-08
     4.521     0.120    0.397E-07    0.259E-08
     4.641     0.120    0.430E-07    0.341E-08
     4.761     0.120    0.464E-07    0.381E-08
     4.881     0.120    0.588E-07    0.426E-08
     5.001     0.120    0.630E-07    0.587E-08
     5.121     0.120    0.449E-07    0.593E-08
     5.241     0.120    0.600E-07    0.773E-08
     5.361     0.120    0.646E-07    0.942E-08
     5.481     0.120    0.736E-07    0.107E-07
     5.601     0.120    0.932E-07    0.121E-07
     5.721     0.120    0.126E-06    0.152E-07
     5.841     0.120    0.100E-06    0.194E-07
     5.961     0.120    0.977E-07    0.176E-07
     6.081     0.120    0.106E-06    0.220E-07
     6.201     0.120    0.104E-06    0.208E-07
     6.321     0.120    0.794E-07    0.283E-07
     6.441     0.120    0.208E-06    0.525E-07
     6.561     0.120    0.723E-07    0.422E-07
