# f1_exp_070_171_OM_a.dat                                                       
#                                                                               
# Z = 70, A = 171                                                               
# No. of entries: 45                                                            
# Col 1: photon energy E in MeV                                                 
# Col 2: bin width dE in MeV                                                    
# Col 3: dipole strength f1 in MeV^-3                                           
# Col 4: uncertainty df1 in MeV^-3                                              
# Format: 2f10.3, 2e12.3                                                        
# Author: A. Voinov et al., Phys. Rev. C 63, 044313 (2001)                      
#    E         dE       f1           df1                                        
     1.080     0.120    0.689E-08    0.126E-08
     1.200     0.120    0.652E-08    0.111E-08
     1.320     0.120    0.792E-08    0.902E-09
     1.440     0.120    0.839E-08    0.874E-09
     1.560     0.120    0.823E-08    0.898E-09
     1.680     0.120    0.962E-08    0.875E-09
     1.800     0.120    0.122E-07    0.836E-09
     1.920     0.120    0.138E-07    0.886E-09
     2.040     0.120    0.159E-07    0.106E-08
     2.160     0.120    0.146E-07    0.101E-08
     2.280     0.120    0.149E-07    0.860E-09
     2.400     0.120    0.148E-07    0.801E-09
     2.520     0.120    0.181E-07    0.107E-08
     2.640     0.120    0.198E-07    0.133E-08
     2.760     0.120    0.235E-07    0.148E-08
     2.880     0.120    0.249E-07    0.170E-08
     3.000     0.120    0.323E-07    0.199E-08
     3.120     0.120    0.330E-07    0.246E-08
     3.240     0.120    0.371E-07    0.265E-08
     3.360     0.120    0.349E-07    0.266E-08
     3.480     0.120    0.372E-07    0.282E-08
     3.600     0.120    0.416E-07    0.333E-08
     3.720     0.120    0.375E-07    0.365E-08
     3.840     0.120    0.331E-07    0.291E-08
     3.960     0.120    0.360E-07    0.394E-08
     4.080     0.120    0.329E-07    0.425E-08
     4.200     0.120    0.351E-07    0.501E-08
     4.320     0.120    0.297E-07    0.479E-08
     4.440     0.120    0.270E-07    0.521E-08
     4.560     0.120    0.433E-07    0.610E-08
     4.680     0.120    0.429E-07    0.681E-08
     4.800     0.120    0.514E-07    0.822E-08
     4.920     0.120    0.619E-07    0.124E-07
     5.040     0.120    0.621E-07    0.122E-07
     5.160     0.120    0.688E-07    0.141E-07
     5.280     0.120    0.374E-07    0.142E-07
     5.400     0.120    0.672E-07    0.180E-07
     5.520     0.120    0.386E-07    0.179E-07
     5.640     0.120    0.101E-06    0.349E-07
     5.760     0.120    0.838E-07    0.345E-07
     5.880     0.120    0.133E-06    0.512E-07
     6.000     0.120    0.936E-07    0.479E-07
     6.120     0.120    0.928E-07    0.566E-07
     6.240     0.120    0.299E-06    0.123E-06
     6.360     0.120    0.133E-06    0.110E-06
