# f1_exp_070_172_OM_3he.dat                                                     
#                                                                               
# Z = 70, A = 172                                                               
# No. of entries: 55                                                            
# Col 1: photon energy E in MeV                                                 
# Col 2: bin width dE in MeV                                                    
# Col 3: dipole strength f1 in MeV^-3                                           
# Col 4: uncertainty df1 in MeV^-3                                              
# Format: 2f10.3, 2e12.3                                                        
# Author: A. Voinov et al., Phys. Rev. C 63, 044313 (2001)                      
#    E         dE       f1           df1                                        
     1.300     0.100    0.655E-08    0.817E-09
     1.400     0.100    0.748E-08    0.770E-09
     1.500     0.100    0.841E-08    0.689E-09
     1.600     0.100    0.914E-08    0.677E-09
     1.700     0.100    0.112E-07    0.722E-09
     1.800     0.100    0.110E-07    0.794E-09
     1.900     0.100    0.106E-07    0.747E-09
     2.000     0.100    0.109E-07    0.774E-09
     2.100     0.100    0.133E-07    0.767E-09
     2.200     0.100    0.147E-07    0.846E-09
     2.300     0.100    0.156E-07    0.847E-09
     2.400     0.100    0.162E-07    0.989E-09
     2.500     0.100    0.182E-07    0.939E-09
     2.600     0.100    0.185E-07    0.107E-08
     2.700     0.100    0.203E-07    0.112E-08
     2.800     0.100    0.207E-07    0.119E-08
     2.900     0.100    0.232E-07    0.123E-08
     3.000     0.100    0.244E-07    0.131E-08
     3.100     0.100    0.256E-07    0.131E-08
     3.200     0.100    0.294E-07    0.174E-08
     3.300     0.100    0.336E-07    0.223E-08
     3.400     0.100    0.345E-07    0.170E-08
     3.500     0.100    0.361E-07    0.207E-08
     3.600     0.100    0.351E-07    0.223E-08
     3.700     0.100    0.333E-07    0.212E-08
     3.800     0.100    0.334E-07    0.240E-08
     3.900     0.100    0.332E-07    0.240E-08
     4.000     0.100    0.360E-07    0.268E-08
     4.100     0.100    0.359E-07    0.255E-08
     4.200     0.100    0.373E-07    0.336E-08
     4.300     0.100    0.328E-07    0.353E-08
     4.400     0.100    0.429E-07    0.350E-08
     4.500     0.100    0.395E-07    0.377E-08
     4.600     0.100    0.455E-07    0.494E-08
     4.700     0.100    0.412E-07    0.467E-08
     4.800     0.100    0.548E-07    0.522E-08
     4.900     0.100    0.444E-07    0.547E-08
     5.000     0.100    0.444E-07    0.498E-08
     5.100     0.100    0.311E-07    0.598E-08
     5.200     0.100    0.476E-07    0.692E-08
     5.300     0.100    0.730E-07    0.936E-08
     5.400     0.100    0.710E-07    0.116E-07
     5.500     0.100    0.596E-07    0.105E-07
     5.600     0.100    0.918E-07    0.179E-07
     5.700     0.100    0.715E-07    0.143E-07
     5.800     0.100    0.681E-07    0.173E-07
     5.900     0.100    0.116E-06    0.226E-07
     6.000     0.100    0.938E-07    0.239E-07
     6.100     0.100    0.102E-06    0.310E-07
     6.200     0.100    0.144E-06    0.354E-07
     6.300     0.100    0.118E-06    0.362E-07
     6.400     0.100    0.128E-06    0.433E-07
     6.500     0.100    0.164E-06    0.557E-07
     6.600     0.100    0.146E-06    0.604E-07
     6.700     0.100    0.130E-06    0.687E-07
