# f1_exp_078_196_OM.dat                                                         
#                                                                               
# Z = 78, A = 196                                                               
# No. of entries: 49                                                            
# Col 1: photon energy E in MeV                                                 
# Col 2: bin width dE in MeV                                                    
# Col 3: dipole strength f1 in MeV^-3                                           
# Col 4: uncertainty df1 in MeV^-3                                              
# Format: 2f10.3, 2e12.3                                                        
# Author: F. Giacoppo et al., EPJ Web of Conferences 93, 01039 (2015)           
#    E         dE       f1           df1                                        
     2.029     0.127    0.112E-07    0.178E-09
     2.156     0.127    0.117E-07    0.172E-09
     2.283     0.127    0.112E-07    0.200E-09
     2.409     0.127    0.110E-07    0.206E-09
     2.536     0.127    0.119E-07    0.215E-09
     2.663     0.127    0.126E-07    0.242E-09
     2.790     0.127    0.140E-07    0.253E-09
     2.917     0.127    0.168E-07    0.282E-09
     3.043     0.127    0.178E-07    0.310E-09
     3.170     0.127    0.189E-07    0.334E-09
     3.297     0.127    0.207E-07    0.305E-09
     3.424     0.127    0.214E-07    0.372E-09
     3.551     0.127    0.236E-07    0.399E-09
     3.677     0.127    0.261E-07    0.467E-09
     3.804     0.127    0.280E-07    0.515E-09
     3.931     0.127    0.296E-07    0.531E-09
     4.058     0.127    0.333E-07    0.564E-09
     4.185     0.127    0.373E-07    0.656E-09
     4.311     0.127    0.444E-07    0.745E-09
     4.438     0.127    0.512E-07    0.875E-09
     4.565     0.127    0.560E-07    0.101E-08
     4.692     0.127    0.677E-07    0.133E-08
     4.819     0.127    0.754E-07    0.132E-08
     4.945     0.127    0.888E-07    0.161E-08
     5.072     0.127    0.102E-06    0.186E-08
     5.199     0.127    0.115E-06    0.218E-08
     5.326     0.127    0.130E-06    0.243E-08
     5.453     0.127    0.137E-06    0.305E-08
     5.579     0.127    0.147E-06    0.323E-08
     5.706     0.127    0.152E-06    0.321E-08
     5.833     0.127    0.158E-06    0.411E-08
     5.960     0.127    0.162E-06    0.494E-08
     6.087     0.127    0.170E-06    0.421E-08
     6.213     0.127    0.191E-06    0.451E-08
     6.340     0.127    0.201E-06    0.449E-08
     6.467     0.127    0.211E-06    0.575E-08
     6.594     0.127    0.231E-06    0.626E-08
     6.721     0.127    0.254E-06    0.807E-08
     6.847     0.127    0.277E-06    0.605E-08
     6.974     0.127    0.311E-06    0.730E-08
     7.101     0.127    0.378E-06    0.857E-08
     7.228     0.127    0.364E-06    0.124E-07
     7.355     0.127    0.436E-06    0.146E-07
     7.481     0.127    0.474E-06    0.225E-07
     7.608     0.127    0.406E-06    0.320E-07
     7.735     0.127    0.455E-06    0.606E-07
     7.862     0.127    0.475E-06    0.629E-07
     7.989     0.127    0.345E-06    0.970E-07
     8.115     0.127    0.432E-06    0.991E-07
