# f1_exp_079_197_OM_3he.dat
#
# Z = 79, A = 197
# No. of entries: 53
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e12.3
# Author: F. Giacoppo et al., Phys. Rev. C 91, 054327 (2015)
#    E         dE       f1           df1
     1.281     0.128    1.380e-08    5.450e-10
     1.409     0.128    1.460e-08    4.800e-10
     1.537     0.128    1.340e-08    5.070e-10
     1.665     0.128    1.450e-08    4.950e-10
     1.793     0.128    1.480e-08    5.180e-10
     1.921     0.128    1.490e-08    5.460e-10
     2.049     0.128    1.490e-08    5.590e-10
     2.177     0.128    1.490e-08    5.740e-10
     2.305     0.128    1.510e-08    5.660e-10
     2.433     0.128    1.520e-08    5.610e-10
     2.561     0.128    1.580e-08    5.760e-10
     2.689     0.128    1.690e-08    6.270e-10
     2.817     0.128    1.730e-08    6.740e-10
     2.945     0.128    1.810e-08    7.440e-10
     3.073     0.128    1.880e-08    7.890e-10
     3.201     0.128    2.040e-08    8.600e-10
     3.329     0.128    2.190e-08    8.570e-10
     3.457     0.128    2.420e-08    1.040e-09
     3.585     0.128    2.670e-08    1.280e-09
     3.713     0.128    2.940e-08    1.290e-09
     3.841     0.128    3.370e-08    1.570e-09
     3.969     0.128    3.760e-08    1.770e-09
     4.097     0.128    4.360e-08    2.110e-09
     4.225     0.128    5.030e-08    2.400e-09
     4.353     0.128    5.920e-08    2.740e-09
     4.481     0.128    6.790e-08    3.510e-09
     4.609     0.128    8.030e-08    3.950e-09
     4.737     0.128    9.780e-08    4.690e-09
     4.865     0.128    1.150e-07    5.600e-09
     4.993     0.128    1.280e-07    7.290e-09
     5.121     0.128    1.500e-07    7.730e-09
     5.249     0.128    1.710e-07    9.320e-09
     5.377     0.128    1.930e-07    9.990e-09
     5.505     0.128    2.140e-07    1.180e-08
     5.633     0.128    2.370e-07    1.410e-08
     5.761     0.128    2.460e-07    1.580e-08
     5.889     0.128    2.530e-07    1.560e-08
     6.017     0.128    2.630e-07    1.590e-08
     6.145     0.128    2.440e-07    1.730e-08
     6.273     0.128    2.320e-07    1.610e-08
     6.401     0.128    2.030e-07    2.180e-08
     6.529     0.128    1.940e-07    2.580e-08
     6.657     0.128    2.130e-07    5.980e-08
