# f1_exp_082_207_OM.dat                                                         
#                                                                               
# Z = 82, A = 207                                                               
# No. of entries: 33                                                            
# Col 1: photon energy E in MeV                                                 
# Col 2: bin width dE in MeV                                                    
# Col 3: dipole strength f1 in MeV^-3                                           
# Col 4: uncertainty df1 in MeV^-3                                              
# Format: 2f10.3, 2e12.3                                                        
# Author: N.U.H. Syed et al., Phys. Rev. C 79, 024316 (2009)                    
#    E         dE       f1           df1                                        
     0.039     0.221    0.000E+00    0.000E+00
     0.260     0.221    0.000E+00    0.000E+00
     0.481     0.221    0.000E+00    0.000E+00
     0.702     0.221    0.000E+00    0.000E+00
     0.923     0.221    0.000E+00    0.000E+00
     1.144     0.221    0.000E+00    0.000E+00
     1.365     0.221    0.000E+00    0.000E+00
     1.586     0.221    0.000E+00    0.000E+00
     1.807     0.221    0.000E+00    0.000E+00
     2.028     0.221    0.230E-07    0.305E-08
     2.249     0.221    0.131E-07    0.238E-08
     2.470     0.221    0.209E-07    0.236E-08
     2.691     0.221    0.228E-07    0.189E-08
     2.912     0.221    0.187E-07    0.286E-08
     3.133     0.221    0.864E-08    0.138E-08
     3.354     0.221    0.552E-08    0.115E-08
     3.575     0.221    0.127E-07    0.157E-08
     3.796     0.221    0.234E-07    0.210E-08
     4.017     0.221    0.312E-07    0.255E-08
     4.238     0.221    0.411E-07    0.396E-08
     4.459     0.221    0.379E-07    0.452E-08
     4.680     0.221    0.540E-07    0.531E-08
     4.901     0.221    0.739E-07    0.805E-08
     5.122     0.221    0.703E-07    0.622E-08
     5.343     0.221    0.757E-07    0.829E-08
     5.564     0.221    0.119E-06    0.107E-07
     5.785     0.221    0.103E-06    0.136E-07
     6.006     0.221    0.111E-06    0.153E-07
     6.227     0.221    0.140E-06    0.202E-07
     6.448     0.221    0.150E-06    0.259E-07
     6.669     0.221    0.802E-07    0.284E-07
     6.890     0.221    0.827E-07    0.315E-07
     7.111     0.221    0.985E-07    0.372E-07
