# f1_exp_090_231_OM.dat                                                         
#                                                                               
# Z = 90, A = 231                                                               
# No. of entries: 21                                                            
# Col 1: photon energy E in MeV                                                 
# Col 2: bin width dE in MeV                                                    
# Col 3: dipole strength f1 in MeV^-3                                           
# Col 4: uncertainty df1 in MeV^-3                                              
# Format: 2f10.3, 2e12.3                                                        
# Author: M. Guttormsen et al., Phys. Rev. C 89, 014302 (2014)                  
#    E         dE       f1           df1                                        
     0.125     0.200    0.000E+00    0.000E+00
     0.325     0.200    0.000E+00    0.000E+00
     0.525     0.200    0.000E+00    0.000E+00
     0.725     0.200    0.000E+00    0.000E+00
     0.925     0.200    0.107E-07    0.244E-08
     1.125     0.200    0.138E-07    0.246E-08
     1.325     0.200    0.163E-07    0.231E-08
     1.525     0.200    0.181E-07    0.256E-08
     1.725     0.200    0.250E-07    0.272E-08
     1.925     0.200    0.311E-07    0.298E-08
     2.125     0.200    0.381E-07    0.399E-08
     2.325     0.200    0.420E-07    0.456E-08
     2.525     0.200    0.435E-07    0.508E-08
     2.725     0.200    0.426E-07    0.566E-08
     2.925     0.200    0.507E-07    0.736E-08
     3.125     0.200    0.623E-07    0.911E-08
     3.325     0.200    0.603E-07    0.116E-07
     3.525     0.200    0.595E-07    0.143E-07
     3.725     0.200    0.617E-07    0.200E-07
     3.925     0.200    0.935E-07    0.288E-07
     4.125     0.200    0.994E-07    0.355E-07
