# f1_exp_090_232_OM_3he.dat                                                     
#                                                                               
# Z = 90, A = 232                                                               
# No. of entries: 24                                                            
# Col 1: photon energy E in MeV                                                 
# Col 2: bin width dE in MeV                                                    
# Col 3: dipole strength f1 in MeV^-3                                           
# Col 4: uncertainty df1 in MeV^-3                                              
# Format: 2f10.3, 2e12.3                                                        
# Author: M. Guttormsen et al., Phys. Rev. C 89, 014302 (2014)                  
#    E         dE       f1           df1                                        
     0.100     0.150    0.000E+00    0.000E+00
     0.250     0.150    0.000E+00    0.000E+00
     0.400     0.150    0.000E+00    0.000E+00
     0.550     0.150    0.000E+00    0.000E+00
     0.700     0.150    0.000E+00    0.000E+00
     0.850     0.150    0.000E+00    0.000E+00
     1.000     0.150    0.162E-07    0.560E-08
     1.150     0.150    0.186E-07    0.495E-08
     1.300     0.150    0.172E-07    0.380E-08
     1.450     0.150    0.304E-07    0.373E-08
     1.600     0.150    0.363E-07    0.376E-08
     1.750     0.150    0.409E-07    0.490E-08
     1.900     0.150    0.342E-07    0.537E-08
     2.050     0.150    0.399E-07    0.403E-08
     2.200     0.150    0.466E-07    0.459E-08
     2.350     0.150    0.426E-07    0.422E-08
     2.500     0.150    0.421E-07    0.565E-08
     2.650     0.150    0.389E-07    0.688E-08
     2.800     0.150    0.488E-07    0.104E-07
     2.950     0.150    0.561E-07    0.110E-07
     3.100     0.150    0.438E-07    0.116E-07
     3.250     0.150    0.388E-07    0.150E-07
     3.400     0.150    0.511E-07    0.324E-07
     3.550     0.150    0.598E-07    0.795E-07
