# f1_exp_090_232_OM_d.dat                                                       
#                                                                               
# Z = 90, A = 232                                                               
# No. of entries: 25                                                            
# Col 1: photon energy E in MeV                                                 
# Col 2: bin width dE in MeV                                                    
# Col 3: dipole strength f1 in MeV^-3                                           
# Col 4: uncertainty df1 in MeV^-3                                              
# Format: 2f10.3, 2e12.3                                                        
# Author: M. Guttormsen et al., Phys. Rev. C 89, 014302 (2014)                  
#    E         dE       f1           df1                                        
     0.050     0.150    0.000E+00    0.000E+00
     0.200     0.150    0.000E+00    0.000E+00
     0.350     0.150    0.000E+00    0.000E+00
     0.500     0.150    0.000E+00    0.000E+00
     0.650     0.150    0.000E+00    0.000E+00
     0.800     0.150    0.000E+00    0.000E+00
     0.950     0.150    0.000E+00    0.000E+00
     1.100     0.150    0.000E+00    0.000E+00
     1.250     0.150    0.230E-07    0.205E-08
     1.400     0.150    0.221E-07    0.228E-08
     1.550     0.150    0.310E-07    0.175E-08
     1.700     0.150    0.326E-07    0.210E-08
     1.850     0.150    0.371E-07    0.232E-08
     2.000     0.150    0.408E-07    0.283E-08
     2.150     0.150    0.401E-07    0.261E-08
     2.300     0.150    0.366E-07    0.279E-08
     2.450     0.150    0.360E-07    0.310E-08
     2.600     0.150    0.442E-07    0.368E-08
     2.750     0.150    0.539E-07    0.524E-08
     2.900     0.150    0.558E-07    0.542E-08
     3.050     0.150    0.497E-07    0.679E-08
     3.200     0.150    0.545E-07    0.966E-08
     3.350     0.150    0.387E-07    0.109E-07
     3.500     0.150    0.289E-07    0.143E-07
     3.650     0.150    0.117E-06    0.384E-07
